stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_lift_region,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,201,533,0,0,0,734,0,0,0,734,0.0,True,False,734,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,208,392,0,0,0,600,0,0,0,600,0.0,True,False,600,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,206,394,0,0,0,600,0,0,0,600,0.0,True,False,600,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,213,375,0,0,0,588,0,0,0,588,0.0,True,False,588,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,200,382,0,0,0,582,0,0,0,582,0.0,True,False,582,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,211,405,0,0,0,616,0,0,0,616,0.0,True,False,616,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,196,381,0,0,0,577,0,0,0,577,0.0,True,False,577,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,194,403,0,0,0,597,0,0,0,597,0.0,True,False,597,5120,False,True,False
W01,inflight_lift_region,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,202,401,0,0,0,603,0,0,0,603,0.0,True,False,603,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,580,1080,0,0,0,1660,0,0,0,1660,0.0,True,False,1660,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,glide,glide,transition_object,inflight_entry_evidence_for_8_families,587,1077,0,0,0,1664,0,0,0,1664,0.0,True,False,1664,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,592,1067,0,0,0,1659,0,0,0,1659,0.0,True,False,1659,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,581,1078,0,0,0,1659,0,0,0,1659,0.0,True,False,1659,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,582,1077,0,0,0,1659,0,0,0,1659,0.0,True,False,1659,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,592,1069,0,0,0,1661,0,0,0,1661,0.0,True,False,1661,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,582,1079,0,0,0,1661,0,0,0,1661,0.0,True,False,1661,5120,False,True,False
W01,inflight_nominal,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,582,1080,0,0,0,1662,0,0,0,1662,0.0,True,False,1662,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,184,691,0,0,0,875,0,0,0,875,0.0,True,False,875,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,195,685,0,0,0,880,0,0,0,880,0.0,True,False,880,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,177,694,0,0,0,871,0,0,0,871,0.0,True,False,871,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,182,686,0,0,0,868,0,0,0,868,0.0,True,False,868,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,179,716,0,0,0,895,0,0,0,895,0.0,True,False,895,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,188,721,0,0,0,909,0,0,0,909,0.0,True,False,909,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,182,700,0,0,0,882,0,0,0,882,0.0,True,False,882,5120,False,True,False
W01,inflight_nominal,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,180,687,0,0,0,867,0,0,0,867,0.0,True,False,867,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,237,428,0,0,0,665,0,0,0,665,0.0,True,False,665,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,217,439,0,0,0,656,0,0,0,656,0.0,True,False,656,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,236,434,0,0,0,670,0,0,0,670,0.0,True,False,670,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,236,437,0,0,0,673,0,0,0,673,0.0,True,False,673,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,233,413,0,0,0,646,0,0,0,646,0.0,True,False,646,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,226,404,0,0,0,630,0,0,0,630,0.0,True,False,630,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,225,432,0,0,0,657,0,0,0,657,0.0,True,False,657,5120,False,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,228,443,0,0,0,671,0,0,0,671,0.0,True,False,671,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,67,281,0,0,0,348,0,0,0,348,0.0,True,False,348,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,62,284,0,0,0,346,0,0,0,346,0.0,True,False,346,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,66,279,0,0,0,345,0,0,0,345,0.0,True,False,345,5120,False,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,65,284,0,0,0,349,0,0,0,349,0.0,True,False,349,5120,False,True,False
