primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
recovery,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,25
recovery,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,206
recovery,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,471
recovery,transition_object,recoverable_degraded,recoverable_degraded,True,,49
safe_exit_or_recovery_handoff,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,430
safe_exit_or_recovery_handoff,transition_object,boundary_near,inflight_stable,True,,46
safe_exit_or_recovery_handoff,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,19
safe_exit_or_recovery_handoff,transition_object,boundary_near,safe_terminal,True,,785
safe_exit_or_recovery_handoff,transition_object,inflight_stable,boundary_near,True,,2245
safe_exit_or_recovery_handoff,transition_object,inflight_stable,inflight_stable,True,,1601
safe_exit_or_recovery_handoff,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1274
safe_exit_or_recovery_handoff,transition_object,launch_gate,inflight_stable,True,,2399
safe_exit_or_recovery_handoff,transition_object,launch_gate,post_launch_degraded,True,,2721
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,345
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,inflight_stable,True,,184
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,32
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,203
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,470
safe_exit_or_recovery_handoff,transition_object,recoverable_degraded,recoverable_degraded,True,,46
