case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status,cl_lift_asb,cd_drag_asb,cm_pitch_asb,cy_asb,cl_roll_asb,cn_yaw_asb,valid_aerosandbox,aerosandbox_status,comparison_status,cl_lift_minus_aerosandbox,cd_drag_minus_aerosandbox,cm_pitch_minus_aerosandbox,cy_body_minus_aerosandbox,cl_roll_minus_aerosandbox,cn_yaw_minus_aerosandbox
case_000021,clean,12.0,0.0,4.5,0.0,0.0,0.0,0.05732038207889157,1.1094860152549427e-18,-0.8382497212113306,-5.808827304999701e-18,0.02913966916013637,-9.076292664062033e-20,0.8318495311749868,0.1182141226609503,True,ok,0.8359860040334637,0.2079212315745744,0.030490619161089468,1.550268813480679e-17,1.1273921250105988e-18,-6.154402501213823e-18,True,ok: AeroSandbox AeroBuildup.run,matched,-0.004136472858476847,-0.0897071089136241,-0.0013509500009530988,-1.439320211955185e-17,-6.9362194300103e-18,6.063639574573203e-18
case_000022,clean,-8.0,6.0,4.5,0.0,0.0,0.0,0.03856603750249018,-0.02657485459740219,0.7314974602522937,-0.009204736401104899,-0.03519718491618286,0.010704350290485035,-0.7293766572363072,0.06604339867763334,True,ok,-0.715408670963717,0.13600332131487647,-0.0272046610317114,-0.00713545705237834,-0.006049473011393297,0.0062883050270874825,True,ok: AeroSandbox AeroBuildup.run,matched,-0.013967986272590216,-0.06995992263724313,-0.00799252388447146,-0.01943939754502385,-0.0031552633897116017,0.004416045263397552
case_000023,clean,-6.0,6.0,4.5,0.0,0.0,0.0,0.013428953530148967,-0.027155440569058487,0.5655715115387153,-0.010680017696695193,-0.0273606352858214,0.010573103587515918,-0.5635987950797879,0.04835075499020989,True,ok,-0.5725459006246717,0.08574921167383283,-0.01294323499970757,-0.012375188724978396,-0.008700021671096372,0.005968156450355344,True,ok: AeroSandbox AeroBuildup.run,matched,0.00894710554488376,-0.03739845668362294,-0.01441740028611383,-0.014780251844080092,-0.001979996025598821,0.004604947137160574
case_000024,clean,-4.0,6.0,4.5,0.0,0.0,0.0,-0.006504478323490764,-0.027332314073542814,0.3816786290301405,-0.010997823092288476,-0.018304971316343413,0.01023878559576282,-0.3801116085223221,0.035788796279435556,True,ok,-0.3865210251028712,0.04299652638545132,-0.03138918557993823,-0.016651548070185488,-0.011070657883148528,0.00681457694861201,True,ok: AeroSandbox AeroBuildup.run,matched,0.006409416580549054,-0.007207730106015761,0.013084214263594816,-0.010680766003357326,7.283479086005185e-05,0.0034242086471508093
case_000025,clean,-2.0,6.0,4.5,0.0,0.0,0.0,-0.01875902671629877,-0.027390874177427787,0.19348019304408437,-0.011041284764436096,-0.009354146712828483,0.009858765355450457,-0.19261666102839686,0.028223395116360822,True,ok,-0.1710949457033585,0.022017816004917035,-0.020821731718931653,-0.01872068499814626,-0.010663845379571523,0.006452344272013214,True,ok: AeroSandbox AeroBuildup.run,matched,-0.021521715325038354,0.0062055791114437875,0.01146758500610317,-0.008670189179281525,-0.00037743938486457275,0.003406421083437244
case_000026,clean,0.0,6.0,4.5,0.0,0.0,0.0,-0.022889718366657465,-0.02740628813471232,0.004324663839143486,-0.011043057117388032,-0.0008716388078522177,0.00946229477733011,-0.004324663839143486,0.02562906327704616,True,ok,-2.1814521698854262e-15,0.016696024016279603,0.0007669655190533369,-0.018807521602952907,-0.00910376502482438,0.006201514983764439,True,ok: AeroSandbox AeroBuildup.run,matched,-0.0043246638391413045,0.008933039260766558,-0.0016386043269055546,-0.008598766531759412,-0.0019392920925636516,0.0032607797935656707
case_000027,clean,2.0,6.0,4.5,0.0,0.0,0.0,-0.01883828216723215,-0.0273908982454732,-0.18484082429636217,-0.011041359225784267,0.007026647007724271,0.009053584910833955,0.18397976180728984,0.028002312977771445,True,ok,0.17109495925297843,0.022017816403342057,0.021929531751478108,-0.018720685249394776,-0.01085904485542012,0.005869472513017981,True,ok: AeroSandbox AeroBuildup.run,matched,0.012884802554311403,0.005984496574429388,-0.014902884743753836,-0.008670212996078425,-0.00018231437036414673,0.003184112397815974
case_000028,clean,4.0,6.0,4.5,0.0,0.0,0.0,-0.006657627758132184,-0.02733408660725522,-0.37310532512042643,-0.011003306929784344,0.014251959624522522,0.008638919570628192,0.37154838124962236,0.03534615370054464,True,ok,0.3865210854945056,0.04299653038959259,0.031173247399590896,-0.01665154825551429,-0.011168323885467391,0.0054897538891435955,True,ok: AeroSandbox AeroBuildup.run,matched,-0.014972704244883228,-0.007650376689047951,-0.016921287775068374,-0.01068253835174093,0.00016501695568304706,0.003149165681484597
case_000029,clean,6.0,6.0,4.5,0.0,0.0,0.0,0.01323932492052672,-0.02716683240813444,-0.557337914346764,-0.010715261592951936,0.02061718287431803,0.008260325039452914,0.5553900799400441,0.047683571894374194,True,ok,0.5725460310460763,0.08574922447968897,0.01265853735760577,-0.012375187993738034,-0.008631996536072177,0.0064434870555856874,True,ok: AeroSandbox AeroBuildup.run,matched,-0.017155951106032186,-0.038065652585314774,0.007958645516712258,-0.014791644414396407,-0.0020832650568797587,0.0018168379838672264
case_000030,clean,8.0,6.0,4.5,0.0,0.0,0.0,0.0385359558291466,-0.026622634632939738,-0.7247002835472879,-0.009352557539061748,0.025575591205848396,0.00812299602437491,0.7226400655482601,0.06513721682546389,True,ok,0.7154088935898029,0.13600334862848934,0.025776279586307942,-0.007135454318344808,-0.00490850515131262,0.006640750001920601,True,ok: AeroSandbox AeroBuildup.run,matched,0.007231171958457239,-0.07086613180302545,-0.00020068838045954676,-0.01948718031459493,-0.0044440523877491275,0.0014822460224543097
