group,parameter_name,parameter_symbol,quantity_name,quantity_symbol,difference_scheme,step_size,derivative_estimate,absolute_error_estimate,relative_error_estimate,signal_amplitude,roundoff_floor,roundoff_limited,selected_for_final,selected_step_size,selection_reason,reeval_path,notes
geometry,tail_arm_m,l_t,mass_total_kg,m,forward,0.0003999999944802849,0.014250264276679487,0.0,0.0,5.700105632014396e-06,8.79748038029827e-08,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,roll_tau_s,tau_roll,forward,0.0007999999889605698,0.006315109294368663,3.2814089572352073e-06,0.0005193425211118912,5.052087365779723e-06,1.6698761980617183e-08,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,roll_tau_s,tau_roll,forward,0.0003999999944802849,0.0063183907033258985,0.0,0.0,2.527356246454643e-06,1.669688090934817e-08,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,static_margin,SM,forward,0.0007999999889605698,70.19596654168876,0.013902678034142468,0.00019801600812891158,0.05615677245842754,6.628019806355799e-06,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,static_margin,SM,forward,0.0003999999944802849,70.2098692197229,0.0,0.0,0.028083947300350687,6.607103921713439e-06,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,nom_cl_margin_to_cap,Delta_CL,forward,0.0007999999889605698,-0.042429369321158684,1.3877787807814457e-11,3.2707975712080694e-10,3.394349498853089e-05,6.321422312564203e-07,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,nom_cl_margin_to_cap,Delta_CL,forward,0.0003999999944802849,-0.0424293693072809,0.0,0.0,1.6971747488714328e-05,6.321422312564203e-07,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,nom_util_e,u_e,forward,0.0007999999889605698,0.0983004030226938,0.00012551682509165385,0.001275241575448461,7.86403213329746e-05,1.1595694885311514e-09,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,nom_util_e,u_e,forward,0.0003999999944802849,0.09842591984778545,0.0,0.0,3.937036739583115e-05,1.130311092846534e-09,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,nom_lateral_residual,r_lat,forward,0.0007999999889605698,6.537101404888334e-17,0.0,0.0,5.2296810517447926e-20,7.450580596923827e-13,True,True,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,nom_lateral_residual,r_lat,forward,0.0003999999944802849,6.537151731051249e-17,5.032616291514128e-22,5.032616291514127e-13,2.6148606563372845e-20,7.450580596923827e-13,True,False,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,static_margin_min_margin,Delta_SM_min,forward,0.0007999999889605698,70.19596654168876,0.013902678034142468,0.00019801600812891158,0.05615677245842754,2.902729507893885e-06,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,static_margin_min_margin,Delta_SM_min,forward,0.0003999999944802849,70.2098692197229,0.0,0.0,0.028083947300350687,2.881813623251525e-06,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,roll_tau_limit_margin,Delta_tau_max,forward,0.0007999999889605698,-0.006315109294377337,3.2814089398879726e-06,0.0005193425183670894,5.052087365786662e-06,3.185811289793652e-07,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,roll_tau_limit_margin,Delta_tau_max,forward,0.0003999999944802849,-0.006318390703317225,0.0,0.0,2.5273562464511734e-06,3.185811289793652e-07,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,elevator_util_margin,Delta_u_e,forward,0.0007999999889605698,-0.09830040302269921,0.00012551682519466867,0.0012752415764936788,7.864032133297894e-05,7.439570818090777e-07,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,elevator_util_margin,Delta_u_e,forward,0.0003999999944802849,-0.09842591984789388,0.0,0.0,3.937036739587452e-05,7.439570818090777e-07,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,bank_entry_margin_deg,Delta_phi_be,forward,0.0007999999889605698,5.479924930642083,0.0030284143744294667,0.0005523326907718465,0.004383939884018417,1.864145915694707e-05,False,False,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,bank_entry_margin_deg,Delta_phi_be,forward,0.0003999999944802849,5.482953345016512,0.0,0.0,0.0021931813077422646,1.864145915694707e-05,False,True,0.0003999999944802849,smaller_step_selected,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.
geometry,tail_arm_m,l_t,turn_radius_allow_m,R_allow,forward,0.0007999999889605698,0.0,0.0,0.0,0.0,1.3554208105333822e-06,True,True,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,turn_radius_allow_m,R_allow,forward,0.0003999999944802849,0.0,0.0,0.0,0.0,1.3554208105333822e-06,True,False,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,turn_radius_ach_m,R_ach,forward,0.0007999999889605698,-7.938094735609922e-11,0.0,0.0,6.350475700855895e-14,1.5863065962300183e-06,True,True,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,turn_radius_ach_m,R_ach,forward,0.0003999999944802849,4.440892159781775e-12,8.3821839515881e-11,0.08382183951588099,1.7763568394002505e-15,1.5863065962300198e-06,True,False,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,turn_footprint_margin_m,Delta_footprint,forward,0.0007999999889605698,7.938094735609922e-11,0.0,0.0,6.350475700855895e-14,2.3088578569663625e-07,True,True,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
geometry,tail_arm_m,l_t,turn_footprint_margin_m,Delta_footprint,forward,0.0003999999944802849,-4.440892159781775e-12,8.3821839515881e-11,0.08382183951588099,1.7763568394002505e-15,2.3088578569663757e-07,True,False,0.0007999999889605698,larger_step_selected_both_steps_roundoff_fragile,full_trim,Recovered from workbook boom_length_m using the exported boom geometry relation.; Forward difference used because the centered step violates the lower bound.; Automatic step-size check found both forward steps near the round-off floor; the derivative remains numerically fragile.
