group,parameter_name,parameter_symbol,baseline_parameter_value,step_used,quantity_name,quantity_symbol,baseline_quantity_value,sensitivity_raw,sensitivity_normalized,difference_scheme,fd_stability_abs,fd_stability_rel,fd_stable,unit_raw,step_selection_reason,notes,reeval_path
requirement,bank_entry_time_s,t_be,0.2,0.0004,roll_tau_limit_margin,Delta_tau_max,0.4275923531528536,0.0,0.0,central,0.0,0.0,False,s/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,elevator_util_margin,Delta_u_e,0.9985222924992453,0.0,0.0,central,0.0,0.0,False,1/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0002,bank_entry_margin_deg,Delta_phi_be,-25.02014294650231,151.9324228329566,1.214480853749047,central,9.474656621932809e-06,6.236099211259074e-08,True,deg/s,smaller_step_selected,,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,turn_radius_allow_m,R_allow,1.8192150167370904,0.0,0.0,central,0.0,0.0,False,m/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,turn_radius_ach_m,R_ach,2.1291046725740643,0.0,0.0,central,0.0,0.0,False,m/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,turn_footprint_margin_m,Delta_footprint,-0.30988965583697414,0.0,0.0,central,0.0,0.0,False,m/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,bank_entry_time_s,t_be,0.2,0.0004,agility_lateral_margin_mps2,Delta_a_lat,-1.2801062471306155,0.0,0.0,central,0.0,0.0,False,m/s^2/s,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,objective,J,2.139787141052715,0.0,0.0,central,0.0,0.0,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,sink_rate_mps,V_sink,0.6647593597440051,0.0,0.0,central,0.0,0.0,False,m/s/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,mass_total_kg,m,0.11807208277118897,0.0,0.0,central,0.0,0.0,False,kg/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,roll_tau_s,tau_roll,0.0224076468471464,0.0,0.0,central,0.0,0.0,False,s/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,static_margin,SM,8.839820823022325,0.0,0.0,central,0.0,0.0,False,%MAC/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,nom_cl_margin_to_cap,Delta_CL,0.8484469405208732,0.0,0.0,central,0.0,0.0,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,nom_util_e,u_e,0.0014777075007547573,0.0,0.0,central,0.0,0.0,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,nom_lateral_residual,r_lat,2.4430072921502608e-17,0.0,0.0,central,0.0,0.0,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,static_margin_min_margin,Delta_SM_min,3.8398208230223254,0.0,0.0,central,0.0,0.0,False,%MAC/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,roll_tau_limit_margin,Delta_tau_max,0.4275923531528536,0.0,0.0,central,0.0,0.0,False,s/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,elevator_util_margin,Delta_u_e,0.9985222924992453,0.0,0.0,central,0.0,0.0,False,1/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
requirement,wall_clearance_m,c_w,0.2,0.0004,bank_entry_margin_deg,Delta_phi_be,-25.02014294650231,0.0,0.0,central,0.0,0.0,False,deg/m,larger_step_selected_both_steps_roundoff_fragile,Automatic step-size check found both centered steps near the round-off floor; the derivative remains numerically fragile.,derived_only
