iteration,pass_index,group,candidate_scale,selected,objective,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_rate_mae_m_s,final_theta_mae_deg,final_phi_mae_deg,final_psi_mae_deg,group_scales_json
8,2,post_stall_lateral,0.25,False,38.73015203,0.3416145236,1.163485231,0.3716340461,0.3323693884,48.59566125,57.03883477,61.09068403,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.25, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,0.5,False,38.54921695,0.3401956451,1.152203299,0.3711986427,0.331966644,48.46069848,56.7775531,60.87238565,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.5, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,0.75,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,1,False,44.70318486,0.7052219212,1.085758939,0.5145384626,0.3582555317,52.50604484,62.77879783,64.20167523,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 1.0, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
8,2,post_stall_lateral,1.25,False,44.47028949,0.6681887028,1.088656171,0.5177815229,0.3589188621,48.24117731,63.17232994,60.4281837,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 1.25, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
9,2,transition_lateral,-0.25,False,38.88952442,0.3407608235,1.152404544,0.3684927437,0.3295841326,49.84583398,57.31896052,61.45799668,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": -0.25}"
9,2,transition_lateral,0,False,38.80857397,0.3404397577,1.150434099,0.3690539134,0.330072672,49.57909357,57.20635544,61.32189913,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 0.0}"
9,2,transition_lateral,0.25,False,38.72595434,0.340091661,1.148479703,0.3695367831,0.3304935019,49.32165351,57.08862059,61.1868247,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 0.25}"
9,2,transition_lateral,0.5,False,38.64211253,0.3397177744,1.146551246,0.3699449618,0.3308497424,49.07442413,56.96650304,61.05238657,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 0.5}"
9,2,transition_lateral,0.75,False,38.55755608,0.3393207939,1.144658144,0.3702831614,0.3311454662,48.83830973,56.84074226,60.91841991,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 0.75}"
9,2,transition_lateral,1,False,38.47335655,0.3389057639,1.142822157,0.3705549396,0.3313837489,48.61578176,56.71291399,60.78560201,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.0}"
9,2,transition_lateral,1.25,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
10,2,transition_blender,0,True,38.43155055,0.3389438604,1.142427663,0.370783955,0.3315829839,48.50289534,56.65397253,60.6750549,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 0.0, ""transition_lateral"": 1.25}"
10,2,transition_blender,1,False,38.47832339,0.3390824535,1.143099617,0.3707133008,0.3315217842,48.61742141,56.7194633,60.76784498,"{""attached_lateral"": 1.25, ""attached_longitudinal"": 0.0, ""post_stall_lateral"": 0.75, ""post_stall_longitudinal"": 0.5, ""transition_blender"": 1.0, ""transition_lateral"": 1.25}"
