candidate_id,baseline_model_id,term,regime_family,split,fit_sample_count,fit_used_sample_count,fit_coefficient,fit_sign,parameter_keys_json,baseline_dy_mae_m,candidate_dy_mae_m,delta_dy_mae_m,baseline_roll_mae_deg,candidate_roll_mae_deg,delta_roll_mae_deg,baseline_yaw_mae_deg,candidate_yaw_mae_deg,delta_yaw_mae_deg,baseline_dx_mae_m,candidate_dx_mae_m,delta_dx_mae_m,baseline_altitude_loss_mae_m,candidate_altitude_loss_mae_m,delta_altitude_loss_mae_m,baseline_sink_mae_m_s,candidate_sink_mae_m_s,delta_sink_mae_m_s,baseline_pitch_mae_deg,candidate_pitch_mae_deg,delta_pitch_mae_deg,accepted,acceptance_reason
transition_Cn_beta,primary_longitudinal,Cn_beta,transition,heldout,5180,5173,-0.03776790749,negative,"[""transition_yaw_moment_beta_coeff""]",1.612228602,1.54378491,-0.06844369146,28.15740301,23.95107851,-4.2063245,27.09823695,21.54674861,-5.551488337,0.4075358813,0.3914157499,-0.01612013136,0.3434580162,0.3176910645,-0.02576695172,0.3088797992,0.2877173059,-0.02116249323,5.437063205,5.654535032,0.2174718272,True,heldout_lateral_improved_with_longitudinal_tolerance
post_stall_Cn_beta,primary_longitudinal,Cn_beta,post_stall,train,891,889,-0.04606358647,negative,"[""post_stall_yaw_moment_beta_rbf_20_coeff""]",1.5767532,1.50815982,-0.06859337991,26.02720489,21.31240434,-4.714800552,23.51136807,19.44704994,-4.064318134,0.630121907,0.6522555366,0.02213362963,0.6965684563,0.6898781851,-0.006690271179,0.447312174,0.4413655031,-0.005946670863,5.822187899,5.733322895,-0.08886500389,,
post_stall_Cn_beta,primary_longitudinal,Cn_beta,post_stall,heldout,891,889,-0.04606358647,negative,"[""post_stall_yaw_moment_beta_rbf_20_coeff""]",1.612228602,1.507526934,-0.104701668,28.15740301,25.77776682,-2.379636192,27.09823695,21.53493487,-5.563302073,0.4075358813,0.4175812025,0.01004532119,0.3434580162,0.3262361745,-0.01722184178,0.3088797992,0.2945052046,-0.01437459459,5.437063205,5.262751997,-0.1743112079,True,heldout_lateral_improved_with_longitudinal_tolerance
attached_Cn_p,primary_longitudinal,Cn_p,attached,train,2311,2311,-0.03325912662,negative,"[""yaw_moment_p_hat_coeff""]",1.5767532,1.583268613,0.00651541257,26.02720489,25.9273015,-0.09990338932,23.51136807,22.73109918,-0.7802688948,0.630121907,0.62664368,-0.003478226931,0.6965684563,0.6994585138,0.002890057493,0.447312174,0.4495398337,0.002227659733,5.822187899,5.876913352,0.05472545308,,
attached_Cn_p,primary_longitudinal,Cn_p,attached,heldout,2311,2311,-0.03325912662,negative,"[""yaw_moment_p_hat_coeff""]",1.612228602,1.622639405,0.01041080302,28.15740301,27.92127482,-0.236128191,27.09823695,25.84999584,-1.248241108,0.4075358813,0.4010807342,-0.00645514707,0.3434580162,0.3429588204,-0.0004991958282,0.3088797992,0.3086706539,-0.0002091452795,5.437063205,5.113817338,-0.3232458675,False,rejected_lateral_metrics_not_all_improved
transition_Cn_p,primary_longitudinal,Cn_p,transition,train,5180,5174,-0.1346594419,negative,"[""transition_yaw_moment_p_hat_coeff""]",1.5767532,1.569328,-0.007425199829,26.02720489,25.4502111,-0.5769937852,23.51136807,22.9442123,-0.5671557751,0.630121907,0.6240150825,-0.00610682446,0.6965684563,0.6941163966,-0.002452059701,0.447312174,0.4452288786,-0.002083295345,5.822187899,5.793819338,-0.02836856098,,
transition_Cn_p,primary_longitudinal,Cn_p,transition,heldout,5180,5174,-0.1346594419,negative,"[""transition_yaw_moment_p_hat_coeff""]",1.612228602,1.595181184,-0.01704741749,28.15740301,26.4870426,-1.67036041,27.09823695,24.4022753,-2.695961646,0.4075358813,0.379199495,-0.02833638623,0.3434580162,0.3260197364,-0.01743827979,0.3088797992,0.2946894724,-0.01419032677,5.437063205,5.071830355,-0.3652328496,True,heldout_lateral_improved_with_longitudinal_tolerance
post_stall_Cn_p,primary_longitudinal,Cn_p,post_stall,train,891,891,-0.04705124517,negative,"[""post_stall_yaw_moment_p_hat_rbf_20_coeff""]",1.5767532,1.576275928,-0.0004772718929,26.02720489,25.99406045,-0.03314443909,23.51136807,23.48997221,-0.02139586015,0.630121907,0.6286988567,-0.001423050298,0.6965684563,0.6961962833,-0.000372173007,0.447312174,0.447011836,-0.0003003380174,5.822187899,5.824824831,0.002636932376,,
post_stall_Cn_p,primary_longitudinal,Cn_p,post_stall,heldout,891,891,-0.04705124517,negative,"[""post_stall_yaw_moment_p_hat_rbf_20_coeff""]",1.612228602,1.613523027,0.001294424814,28.15740301,27.99233709,-0.1650659256,27.09823695,26.94135416,-0.1568827858,0.4075358813,0.4019773963,-0.005558484929,0.3434580162,0.3412395066,-0.002218509648,0.3088797992,0.3071103343,-0.001769464826,5.437063205,5.095810094,-0.3412531115,False,rejected_lateral_metrics_not_all_improved
attached_Cn_r,primary_longitudinal,Cn_r,attached,train,2311,2309,0.2907670767,positive,"[""yaw_moment_r_hat_coeff""]",1.5767532,1.54947932,-0.02727387995,26.02720489,15.50590345,-10.52130143,23.51136807,103.4479098,79.9365417,0.630121907,0.5996494901,-0.03047241684,0.6965684563,0.6133871061,-0.08318135021,0.447312174,0.4909702749,0.04365810091,5.822187899,23.77568794,17.95350004,,
attached_Cn_r,primary_longitudinal,Cn_r,attached,heldout,2311,2309,0.2907670767,positive,"[""yaw_moment_r_hat_coeff""]",1.612228602,1.608449339,-0.003779262468,28.15740301,22.20916769,-5.948235319,27.09823695,83.0175214,55.91928445,0.4075358813,0.7286965092,0.321160628,0.3434580162,0.4945425336,0.1510845174,0.3088797992,0.4362469722,0.127367173,5.437063205,31.78404595,26.34698274,False,rejected_lateral_metrics_not_all_improved
transition_Cn_r,primary_longitudinal,Cn_r,transition,train,5180,5175,0.2696939947,positive,"[""transition_yaw_moment_r_hat_coeff""]",1.5767532,1.712107711,0.1353545106,26.02720489,30.86765787,4.840452984,23.51136807,59.14398195,35.63261387,0.630121907,0.7433197079,0.113197801,0.6965684563,0.7704540381,0.07388558182,0.447312174,0.5109489037,0.06363672969,5.822187899,16.09506477,10.27287687,,
