run_index,objective_weight_w_sink,objective_weight_w_mass,objective_weight_w_trim_effort,objective_weight_w_wing_deflection,objective_weight_w_htail_deflection,objective_weight_w_roll_tau,objective_scale_sink_mps,objective_scale_mass_kg,objective_scale_trim_deg,objective_scale_roll_tau_s,success,candidate_id,feasible_rate,sink_mean,sink_cvar_20,objective,wing_span_m,wing_chord_m,tail_arm_m,htail_span_m,vtail_height_m,sink_rate_mps,mass_total_kg,objective_term_spread_ratio,rank_feasible_rate,rank_sink_cvar_20,rank_wing_span_m,trade_label,is_best,J_sink,J_mass,J_trim,J_wing_deflection,J_htail_deflection,J_roll_tau,J_total,log10_objective_weight_w_sink,log10_objective_weight_w_mass,log10_objective_weight_w_trim_effort,log10_objective_weight_w_wing_deflection,log10_objective_weight_w_htail_deflection,log10_objective_weight_w_roll_tau
21,1.0,64.6427018059547,0.6451914393738023,0.03483154085585529,3.022421717195987,0.16751902307274322,1.0,0.1,10.0,0.45,True,1,0.5,1.4147844310371402,1.5080710100010457,78.189175025514,0.5693986226925078,0.10898134245011815,0.3999999946104241,0.22634745656024324,0.09999999866946911,1.0833333337857651,0.10699390756960689,14442.80642009039,-0.5,1.5080710100010457,0.5693986226925078,fragile,False,1.0833333337857651,69.16375262075977,0.004788802855139764,0.029851234105686106,7.895491426778525,0.011957607229119456,78.189175025514,0.0,1.8105194999152872,-0.1903114036162812,-1.4580273130699393,0.4803550611523,-0.7759358683500106
22,1.0,2.0837102087209725,28.980149228622665,1.8990830521306092,8.530541466329396,0.049060144425533726,1.0,0.1,10.0,0.45,True,1,1.0,0.9096807257333422,0.9199366564504133,14.194077484211705,0.7615699665266384,0.2320034297530966,0.3999999945039426,0.5000000049992733,0.2302304521190971,0.7270328068211751,0.1451236197225722,4083.334422591566,-1.0,0.9199366564504133,0.7615699665266384,robust,False,0.7270328068211751,3.0239556794246396,0.05966477738570651,1.2008619352506826,9.180314045754765,0.0022482395747366445,14.194077484211705,0.0,0.31883731947173694,1.4621006174705768,0.2785439580457707,0.9309765983862466,-1.3092711776314672
23,1.0,9.304716470212332,2.067251685853676,15.154686723179735,62.8013013879274,0.10071866695008946,1.0,0.1,10.0,0.45,True,1,1.0,0.891544924544712,0.9018528630463081,91.3764317212409,0.7615699665087902,0.24610175723943742,0.39999999448993,0.5000000049973392,0.14520730258657533,0.7122591662163124,0.14502972861210262,14588.978283460263,-1.0,0.9018528630463081,0.7615699665087902,robust,False,0.7122591662163124,13.49460504487456,0.005767687478621331,9.579737615057311,67.57942998261043,0.0046322250036677495,91.3764317212409,0.0,0.9687031440118381,0.31539335477108077,1.180546963085654,1.7979686434145794,-0.9968900309150017
24,1.0,0.4421104990239706,13.197324259251252,2.8167774891645463,1.6044041733157368,0.06314837069594158,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449264839125,0.9018528639499803,4.90021908654457,0.761569966402357,0.2461017586635346,0.39999999497493083,0.5000000047726254,0.1452073079045628,0.7122591678542444,0.1450297289556151,613.0803053670267,-1.0,0.9018528639499803,0.761569966402357,robust,False,0.7122591678542444,0.6411916584187819,0.036820884561712224,1.7805705770347926,1.7264724963161997,0.002904302358838352,4.90021908654457,0.0,-0.35446917155864766,1.1204858874757542,0.44975254132558806,0.20531378298153546,-1.1996378502850602
25,1.0,0.1025680899027367,0.013140277313494743,0.08561783046005296,0.09813881480770215,0.2102509186298785,1.0,0.1,10.0,0.45,True,1,1.0,0.8684985654077844,0.8821979236146127,1.0203050161699352,0.7615699665150591,0.20114058387103426,0.39999999457259433,0.4182808459273046,0.13127467499633994,0.6915194016593809,0.13446131122593596,50650.71105682911,-1.0,0.8821979236146127,0.7615699665150591,robust,False,0.6915194016593809,0.13791439858261662,1.3652708663527143e-05,0.053372287380978566,0.12702794494979977,0.010457330888495958,1.0203050161699352,0.0,-0.9889877321548504,-1.8813954692930057,-1.0674357813039168,-1.0081591911643861,-0.6772620980032222
26,1.0,0.013121619037088968,0.07449348227690349,0.20763873910875003,42.99128608307436,59.22118257248598,1.0,0.1,10.0,0.45,True,1,1.0,0.8915449242256317,0.9018528620805282,49.84864007589802,0.7615699665277744,0.2461017572760044,0.39999999447033485,0.5000000049998885,0.1452073019804697,0.7122591660792477,0.14502972860539423,222586.9400011731,-1.0,0.9018528620805282,0.7615699665277744,robust,False,0.7122591660792477,0.019030248478123873,0.00020783880609894894,0.13125475146003757,46.2622038630622,2.7236842080123136,49.84864007589802,0.0,-1.8820125753648664,-1.1278817236946916,-0.6826916170488944,1.6333804372181477,1.7724770754541121
27,1.0,0.046988623620787165,0.013259171249421022,2.151606933843013,0.0783091834800308,0.24707337911315316,1.0,0.1,10.0,0.45,True,1,1.0,0.8636609162789824,0.8826648203742973,2.2044310792433963,0.7615699664828963,0.17587756181159309,0.39999999528588837,0.3737001922408335,0.12275418806506633,0.6845644560644458,0.12875102240463523,362359.0870502822,-1.0,0.8826648203742973,0.7615699664828963,robust,False,0.6845644560644458,0.06049833332562941,3.673545274868079e-06,1.3311425120390752,0.11493444023072405,0.01328766403824704,2.2044310792433963,0.0,-1.328007276037948,-1.8774836202035954,0.33276293518449934,-1.1061873043426598,-0.6071740450757601
28,1.0,0.4192286007618873,11.885544697852067,31.247184488466203,0.055657693324046874,0.10572023223136111,1.0,0.1,10.0,0.45,True,1,1.0,0.9188794692178076,0.9783085053949124,20.426793088922786,0.7615699664905639,0.1337346779685961,0.39999999564344535,0.29302218847602873,0.10704173066397209,0.7040727178867544,0.11934556844012281,2752.401225437792,-1.0,0.9783085053949124,0.7615699664905639,robust,False,0.7040727178867544,0.5003307566428474,0.016836318529330613,19.090567260511026,0.1080500671937982,0.006935968159029763,20.426793088922786,0.0,-0.3775490964218582,1.0750190896275802,1.4948108915613951,-1.2544747965179028,-0.9758418915421445
29,1.0,0.026030001317686104,0.9334028457295769,22.74354390023092,0.36405850394832706,0.028673385611598587,1.0,0.1,10.0,0.45,True,1,1.0,0.8749035679672342,0.9083446348675168,15.304176773495167,0.7615699665251127,0.15281197455893075,0.399999994589867,0.33327876071558504,0.11442206821197703,0.6855778186648018,0.12365565059440153,5039857.295540999,-1.0,0.9083446348675168,0.7615699665251127,robust,False,0.6855778186648018,0.032187567479116046,2.7730271316873704e-06,13.975661020367724,0.6090485518711034,0.0016990420852910938,15.304176773495167,0.0,-1.5845258099059856,-0.029930879385330143,1.3568581374140485,-0.43882881992155026,-1.5425210246808003
30,1.0,76.83856353774598,10.802394995140403,0.1238112825601379,0.29949374284560965,0.4033789170429275,1.0,0.1,10.0,0.45,True,1,0.3333333333333333,1.4233446523717435,1.5143551769895873,84.02367903628398,0.5910753820045173,0.10186682304646132,0.39999999446891715,0.21775829491530357,0.09999999832146465,1.083333333813005,0.10666832918934448,6704.744001479765,-0.3333333333333333,1.5143551769895873,0.5910753820045173,fragile,False,1.083333333813005,81.96241189880651,0.012224540098878803,0.10121990180958829,0.8177488707976673,0.04674049095832483,84.02367903628398,0.0,1.8855792373262825,1.0335200534370759,-0.9072397775263723,-0.5236122466503326,-0.39428680431659346
