episode_id,launch_role,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,history_length,initial_launch_speed_m_s,selected_primitive_step_count,episode_rollout_duration_s,episode_flight_time_s,mission_success,front_wall_terminal_success,safe_success,full_safe_success,wrong_wall_exit,no_viable_primitive,hard_failure,floor_or_ceiling_violation,terminal_wall_face,mission_outcome_label,terminal_specific_energy_m,terminal_specific_energy_reserve_m,base_failure_penalty,base_failure_penalty_reason,mission_completion_component,updraft_gain_bonus,lift_dwell_bonus,terminal_specific_energy_bonus,launch_score_additive_component,launch_score,launch_score_version,launch_score_scope
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0040,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,40,r10_changed_final_0040,spatial_flow_belief_memory_h30,30,4.422592649595451,8,0.7999999999999998,0.7999999999999998,False,False,False,False,False,False,False,False,none,expected_low_energy_dry_air_sink_not_scored,0.9839165261701156,0.5839165261701156,0.0,expected_low_energy_dry_air_sink_not_scored,0.0,0.0,0.0,0.0,0.0,0.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0028,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,28,r10_changed_final_0028,spatial_flow_belief_memory_h30,30,7.312852976774224,9,0.8999999999999999,0.8999999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.7414121248061205,2.3414121248061206,0.0,none,100.0,0.854428720870348,0.7000000000000001,20.0,121.55442872087035,121.55442872087035,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0019,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,19,r10_changed_final_0019,spatial_flow_belief_memory_h30,30,4.730801348603789,17,1.6600000000000004,1.6600000000000004,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,1.3967595977110288,0.9967595977110287,0.0,none,100.0,40.0,8.299999999999999,9.967595977110287,158.2675959771103,158.2675959771103,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0036,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,36,r10_changed_final_0036,spatial_flow_belief_memory_h30,30,7.812745008165531,9,0.8599999999999999,0.8599999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,3.570123031897073,3.1701230318970732,0.0,none,100.0,5.109541040732745,1.6,20.0,126.70954104073274,126.70954104073274,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0029,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,29,r10_changed_final_0029,spatial_flow_belief_memory_h30,30,7.608729118376877,6,0.6199999999999999,0.6199999999999999,False,False,False,False,False,False,True,True,none,floor_or_ceiling_violation,3.3191033946927657,2.919103394692766,-100.0,hard_failure,0.0,2.5104410991385677,2.1,0.0,0.0,-100.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_balanced_cluster_no_memory_baseline_final_0000,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,0,r10_changed_final_0000,no_memory_baseline,0,4.87612129641718,10,1.0199999999999998,1.0199999999999998,False,False,False,False,False,False,False,False,none,expected_low_energy_dry_air_sink_not_scored,1.537027317551675,1.137027317551675,0.0,expected_low_energy_dry_air_sink_not_scored,0.0,0.0,0.0,0.0,0.0,0.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_balanced_cluster_no_memory_baseline_final_0001,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,1,r10_changed_final_0001,no_memory_baseline,0,6.172104642361257,12,1.18,1.18,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.090610895448416,1.6906108954484163,0.0,none,100.0,0.060372488555281996,0.1,16.90610895448416,117.06648144303944,117.06648144303944,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_heavy_cluster_spatial_flow_belief_memory_h30_final_0033,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,heavy_cluster,33,r10_changed_final_0033,spatial_flow_belief_memory_h30,30,7.923293922863978,8,0.8199999999999998,0.8199999999999998,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,3.1510985313719027,2.7510985313719027,0.0,none,100.0,0.1390050205499,0.0,20.0,120.1390050205499,120.1390050205499,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_balanced_cluster_no_memory_baseline_final_0002,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,2,r10_changed_final_0002,no_memory_baseline,0,7.978637245396595,6,0.6399999999999999,0.6399999999999999,False,False,True,False,True,False,False,False,side_wall_y_min,wrong_wall_exit,3.357048468311494,2.957048468311494,-50.0,wrong_wall_exit,0.0,0.986473152133766,1.0,0.0,0.0,-50.0,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
r10_balanced_cluster_no_memory_baseline_final_0003,final_heldout,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,3,r10_changed_final_0003,no_memory_baseline,0,7.083174810590647,9,0.8999999999999999,0.8999999999999999,True,True,True,False,False,False,False,False,front_wall_x_max,front_wall_terminal_success,2.725955674840454,2.325955674840454,0.0,none,100.0,0.71070639913352,1.3,20.0,122.01070639913351,122.01070639913351,r10_r11_front_wall_mission_updraft_terminal_energy_score_v2,final_heldout_outer_loop_score
