comparison_type,environment_block_id,library_size_case_id,outer_case_index,common_final_launch_key,policy_id,baseline_policy_id,history_length,launch_score,baseline_launch_score,delta_launch_score,accumulated_selected_score,baseline_accumulated_selected_score,delta_accumulated_selected_score,executed_selected_decision_count,baseline_executed_selected_decision_count,mission_success_delta,safe_success_delta,hard_failure_delta,no_viable_primitive_delta,claim_status
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,7,r10_changed_final_0007,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,3.890588021447669,3.3393753241232407,0.5512126973244285,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,3,r10_changed_final_0003,spatial_flow_belief_memory_h10,no_memory_baseline,10,122.01070639913351,122.01070639913351,0.0,13.150152790596122,12.704420758675212,0.44573203192090993,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,12,r10_changed_final_0012,spatial_flow_belief_memory_h10,no_memory_baseline,10,-50.0,-50.0,0.0,7.932656319256452,7.481047198619793,0.45160912063665926,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,4,r10_changed_final_0004,spatial_flow_belief_memory_h10,no_memory_baseline,10,-40.0,-40.0,0.0,0.0,0.0,0.0,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,16,r10_changed_final_0016,spatial_flow_belief_memory_h10,no_memory_baseline,10,120.00295074304003,120.00295074304003,0.0,10.47754313968839,10.046779365562703,0.4307637741256869,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,20,r10_changed_final_0020,spatial_flow_belief_memory_h10,no_memory_baseline,10,0.0,0.0,0.0,10.923747629154825,10.431961633483876,0.4917859956709485,10,10,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,9,r10_changed_final_0009,spatial_flow_belief_memory_h10,no_memory_baseline,10,-100.0,-100.0,0.0,10.366801896047223,10.005510710565718,0.3612911854815053,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,8,r10_changed_final_0008,spatial_flow_belief_memory_h10,no_memory_baseline,10,132.53606844969295,132.53606844969295,0.0,11.594870377450757,11.160163033619298,0.4347073438314588,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,17,r10_changed_final_0017,spatial_flow_belief_memory_h10,no_memory_baseline,10,-100.0,-100.0,0.0,9.977051365755516,9.572633997635645,0.40441736811987106,8,8,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,25,r10_changed_final_0025,spatial_flow_belief_memory_h10,no_memory_baseline,10,115.74109519551153,115.74109519551153,0.0,13.917153943736848,13.407687029053465,0.509466914683383,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,21,r10_changed_final_0021,spatial_flow_belief_memory_h10,no_memory_baseline,10,120.02586319489345,120.02586319489345,0.0,14.231607837943596,13.840175021785914,0.3914328161576819,9,9,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
policy_vs_no_memory_baseline,r10_l7_full_domain_randomisation_arena_wide_training,balanced_cluster,13,r10_changed_final_0013,spatial_flow_belief_memory_h10,no_memory_baseline,10,129.99317128587654,129.99317128587654,0.0,13.619477947707228,13.115933028142713,0.503544919564515,11,11,0,0,0,0,posthoc_score_delta_audit_not_runtime_control
