episode_id,episode_index,paired_episode_index,replicate_id,common_random_key,launch_state_seed,environment_seed,policy_id,memory_lambda,uses_memory_features,updates_belief,W_layer,environment_mode,paired_schedule_version,claim_status,governor_config_id,calibration_subrun_dir
v49_r001_context_plus_memory_lambda_0_5_p00012_rep00,75,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,context_plus_memory_lambda_0_5,0.5,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00012_rep00,76,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,context_plus_memory_lambda_0_8,0.8,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00012_rep00,77,12,0,v410_run001_seed00511_r00_e00012,511455,1022509,context_plus_memory_lambda_0_95,0.95,True,True,W3,w3_randomised_single,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00013_rep00,78,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,no_memory_baseline,0.0,False,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00013_rep00,79,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,static_map_baseline,0.8,True,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00013_rep00,80,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,context_only_without_memory,0.0,False,False,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00013_rep00,81,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,context_plus_memory_lambda_0_5,0.5,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00013_rep00,82,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,context_plus_memory_lambda_0_8,0.8,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_95_p00013_rep00,83,13,0,v410_run001_seed00511_r00_e00013,511492,1022550,context_plus_memory_lambda_0_95,0.95,True,True,W3,w3_randomised_four,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_no_memory_baseline_p00014_rep00,84,14,0,v410_run001_seed00511_r00_e00014,511529,1022591,no_memory_baseline,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_static_map_baseline_p00014_rep00,85,14,0,v410_run001_seed00511_r00_e00014,511529,1022591,static_map_baseline,0.8,True,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_only_without_memory_p00014_rep00,86,14,0,v410_run001_seed00511_r00_e00014,511529,1022591,context_only_without_memory,0.0,False,False,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_5_p00014_rep00,87,14,0,v410_run001_seed00511_r00_e00014,511529,1022591,context_plus_memory_lambda_0_5,0.5,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
v49_r001_context_plus_memory_lambda_0_8_p00014_rep00,88,14,0,v410_run001_seed00511_r00_e00014,511529,1022591,context_plus_memory_lambda_0_8,0.8,True,True,W0,dry_air,v49_common_random_paired_episode_schedule_v1,simulation_only_paired_full_loop_schedule,v410_cfg_000_b0.05_h0.75_tb0,c000
