stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_nominal,inflight_stable,inflight_stable,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,34,143,0,0,0,177,0,0,0,177,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,26,48,0,0,0,74,0,0,0,74,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,glide,glide,transition_object,inflight_entry_evidence_for_8_families,21,43,0,0,0,64,0,0,0,64,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,21,39,0,0,0,60,0,0,0,60,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,21,45,0,0,0,66,0,0,0,66,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,22,43,0,0,0,65,0,0,0,65,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,21,52,0,0,0,73,0,0,0,73,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,21,45,0,0,0,66,0,0,0,66,0.0,True,False
W01,inflight_nominal,inflight_stable,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,26,41,0,0,0,67,0,0,0,67,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,195,403,0,0,0,598,0,0,0,598,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,196,401,0,0,0,597,0,0,0,597,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,194,405,0,0,0,599,0,0,0,599,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,194,403,0,0,0,597,0,0,0,597,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,195,404,0,0,0,599,0,0,0,599,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,196,403,0,0,0,599,0,0,0,599,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,195,402,0,0,0,597,0,0,0,597,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,197,401,0,0,0,598,0,0,0,598,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,61,95,0,0,0,156,0,0,0,156,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,59,95,0,0,0,154,0,0,0,154,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,59,98,0,0,0,157,0,0,0,157,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,58,101,0,0,0,159,0,0,0,159,0.0,True,False
W01,inflight_recovery_edge,recoverable_degraded,inflight_stable,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,62,98,0,0,0,160,0,0,0,160,0.0,True,False
