case_id,alpha_deg,speed_m_s,delta_e_deg,surface_name,surface_code,fx_b_n,fy_b_n,fz_b_n,mx_b_nm,my_b_nm,mz_b_nm,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
longitudinal_000055,-8.0,4.5,0.0,wing,0,0.05120949769082165,-1.734723475976807e-18,0.9253470786313523,-3.469446951953614e-18,-0.15568662194527338,-3.2526065174565133e-19,0.03275232180979404,-1.1094860152549427e-18,0.5918289901624803,-2.9044136524998504e-18,-0.6034745060458812,-2.7228877992186097e-19,-0.5906275933033841,0.049933097333589284,True,ok
longitudinal_000055,-8.0,4.5,0.0,horizontal_tail,1,0.009958548214272679,0.0,0.2329135895474979,-8.673617379884035e-19,0.05942529048022572,-5.421010862427522e-20,0.006369239898454768,0.0,0.14896574234707233,-7.261034131249626e-19,0.2303450827765614,-4.5381463320310163e-20,-0.14840244485011617,0.014424769405665634,True,ok
longitudinal_000055,-8.0,4.5,0.0,vertical_tail,2,-0.0017079125906046592,0.0,0.0,0.0,9.489141257496764e-05,0.0,-0.0010923384394084515,0.0,0.0,0.0,0.00036781932587505185,0.0,0.00015202412791035273,0.001081707876805188,True,ok
longitudinal_000056,-6.0,4.5,0.0,total,-1,0.019387104617393545,0.0,0.8944628726622424,9.540979117872439e-18,-0.07421015721636708,2.710505431213761e-19,0.012399510208490571,0.0,0.5720762197126044,7.987137544374588e-18,-0.2876543752453994,2.269073166015508e-19,-0.5702384280710611,0.047466663724340726,True,ok
longitudinal_000056,-6.0,4.5,0.0,wing,0,0.018643230257138325,0.0,0.7152287783347419,1.0408340855860843e-17,-0.11995779231237798,2.710505431213761e-19,0.011923746658138458,0.0,0.45744254819831753,8.713240957499551e-18,-0.46498195257594827,2.269073166015508e-19,-0.4561830009708515,0.035957339470066664,True,ok
longitudinal_000056,-6.0,4.5,0.0,horizontal_tail,1,0.0024664915919915004,0.0,0.17923409432750087,-8.673617379884035e-19,0.045651926695391004,0.0,0.0015775067127154375,0.0,0.11463367151428702,-7.261034131249626e-19,0.176956591185003,0.0,-0.11417059061988731,0.010413616556231473,True,ok
longitudinal_000056,-6.0,4.5,0.0,vertical_tail,2,-0.0017226172317362774,0.0,0.0,0.0,9.570840061994318e-05,0.0,-0.0011017431623633227,0.0,0.0,0.0,0.00037098614554604653,0.0,0.00011516351967748294,0.001095707698042607,True,ok
longitudinal_000057,-4.0,4.5,0.0,total,-1,-0.012192932401504878,8.673617379884035e-19,0.6033824140625028,4.336808689942018e-19,-0.04997653163840364,-5.421010862427522e-19,-0.007798296484574347,5.547430076274714e-19,0.3859083937721868,3.630517065624813e-19,-0.1937196810331822,-4.538146332031016e-19,-0.38442435865667063,0.03469890896408605,True,ok
longitudinal_000057,-4.0,4.5,0.0,wing,0,-0.007046853111424595,8.673617379884035e-19,0.4830102689081612,0.0,-0.08065654814729067,-5.421010862427522e-19,-0.0045069920866084474,5.547430076274714e-19,0.308921361818994,0.0,-0.31264195949772683,-4.538146332031016e-19,-0.3078544530327818,0.02604527814513219,True,ok
longitudinal_000057,-4.0,4.5,0.0,horizontal_tail,1,-0.003412907271108142,0.0,0.1203721451543418,4.336808689942018e-19,0.030583721685592,0.0,-0.002182810656046612,0.0,0.07698703195319287,3.630517065624813e-19,0.1185490192198089,0.0,-0.07664723023849267,0.0075478373120771965,True,ok
longitudinal_000057,-4.0,4.5,0.0,vertical_tail,2,-0.0017331720189721431,0.0,0.0,0.0,9.6294823295055e-05,0.0,-0.0011084937419192894,0.0,0.0,0.0,0.00037325924473578684,0.0,7.73246146037201e-05,0.0011057935068766746,True,ok
longitudinal_000058,-2.0,4.5,0.0,total,-1,-0.03157430828940084,0.0,0.30582888762680555,1.734723475976807e-18,-0.025309841534780407,-2.710505431213761e-19,-0.020194142740077154,0.0,0.1956005545447825,1.4522068262499252e-18,-0.09810633648195,-2.269073166015508e-19,-0.19477663455393676,0.027008201922290375,True,ok
longitudinal_000058,-2.0,4.5,0.0,wing,0,-0.022822474345384616,0.0,0.24551565403949757,1.734723475976807e-18,-0.04065144255250882,-2.168404344971009e-19,-0.014596687293610753,0.0,0.1570257095469406,1.4522068262499252e-18,-0.15757364960395406,-1.8152585328124065e-19,-0.15642063668730644,0.020067913618642106,True,ok
longitudinal_000058,-2.0,4.5,0.0,horizontal_tail,1,-0.007012308413566412,0.0,0.06031323358730785,0.0,0.015244953194120421,-5.421010862427522e-20,-0.00448489815653508,0.0,0.03857484499784185,0.0,0.05909268557287049,-4.5381463320310163e-20,-0.03839482555610154,0.005828408753557679,True,ok
longitudinal_000058,-2.0,4.5,0.0,vertical_tail,2,-0.001739525530449806,0.0,0.0,0.0,9.664782360797691e-05,0.0,-0.0011125572899313202,0.0,0.0,0.0,0.0003746275491335114,0.0,3.882768947130152e-05,0.001111879550090586,True,ok
longitudinal_000059,0.0,4.5,0.0,total,-1,-0.03810467579317761,1.3552527156068805e-20,0.00683685396759818,5.421010862427522e-20,-0.0006625233203587214,-2.168404344971009e-19,-0.024370803470304413,8.66785949417924e-21,0.004372681854160752,4.5381463320310163e-20,-0.0025680814992433895,-1.8152585328124065e-19,-0.004372681854160752,0.024370803470304413,True,ok
