event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,fitted_deflection_deg,implementation_error_deg,valid,rejection_reason
154,4,Elevator,-0,positive_first,negative,return,11,11,0.0257350956225154,0,0.0257350956225154,1,
155,4,Elevator,-0,negative_first,negative,outbound,1,11,0.0638629047089699,0,0.0638629047089699,1,
156,4,Elevator,-0.2,negative_first,negative,outbound,2,11,-0.171488758851514,0,-0.171488758851514,1,
157,4,Elevator,-0.4,negative_first,negative,outbound,3,11,-0.456666200609957,0,-0.456666200609957,1,
158,4,Elevator,-0.6,negative_first,negative,outbound,4,11,-0.321715602277384,0,-0.321715602277384,1,
159,4,Elevator,-0.8,negative_first,negative,outbound,5,11,-0.1458333409561,0,-0.1458333409561,1,
160,4,Elevator,-1,negative_first,negative,outbound,6,11,-0.160867350471766,0,-0.160867350471766,1,
161,4,Elevator,-0.8,negative_first,negative,return,7,11,-0.259433058165227,0,-0.259433058165227,1,
162,4,Elevator,-0.6,negative_first,negative,return,8,11,-0.113470398558665,0,-0.113470398558665,1,
163,4,Elevator,-0.4,negative_first,negative,return,9,11,-0.272745886441808,0,-0.272745886441808,1,
164,4,Elevator,-0.2,negative_first,negative,return,10,11,-0.0625422577351513,0,-0.0625422577351513,1,
165,4,Elevator,-0,negative_first,negative,return,11,11,0.0473690223728365,0,0.0473690223728365,1,
166,4,Elevator,0,negative_first,positive,outbound,1,11,0.0621694463019698,0,0.0621694463019698,1,
167,4,Elevator,0.2,negative_first,positive,outbound,2,11,0.0773038264230692,0,0.0773038264230692,1,
168,4,Elevator,0.4,negative_first,positive,outbound,3,11,-0.0106389386656435,0,-0.0106389386656435,1,
169,4,Elevator,0.6,negative_first,positive,outbound,4,11,0.16699753051746,0,0.16699753051746,1,
170,4,Elevator,0.8,negative_first,positive,outbound,5,11,1.13903289699651,0,1.13903289699651,1,
171,4,Elevator,1,negative_first,positive,outbound,6,11,1.34381056905041,-0.057495237415199,1.40130580646561,1,
172,4,Elevator,0.8,negative_first,positive,return,7,11,1.32255468875107,0,1.32255468875107,1,
173,4,Elevator,0.6,negative_first,positive,return,8,11,0.713378078541958,0,0.713378078541958,1,
174,4,Elevator,0.4,negative_first,positive,return,9,11,0.27087208151559,0,0.27087208151559,1,
175,4,Elevator,0.2,negative_first,positive,return,10,11,0.458308137237931,0,0.458308137237931,1,
176,4,Elevator,0,negative_first,positive,return,11,11,-0.369969170198282,0,-0.369969170198282,1,
