chunk_index,status,row_start,row_stop,row_count,partition_path,manifest_path,byte_count,checksum_sha256,duration_s
31,complete,24800,25600,800,w01_primitive_rows/c00031.csv.gz,chunk_manifests/w01_primitive_rows/c00031.json,2062004,0cd7906110a0d9823f1a47c5e76d8c2824063ae50382e17bbcc783618e7deb4a,93.7798843383789
32,complete,25600,26400,800,w01_primitive_rows/c00032.csv.gz,chunk_manifests/w01_primitive_rows/c00032.json,2129115,f6936dadb2d706af8946c0c26ce654d56c943ed0f4391bebd81616269e9807ae,92.56310415267944
33,complete,26400,27200,800,w01_primitive_rows/c00033.csv.gz,chunk_manifests/w01_primitive_rows/c00033.json,2020146,7e19bf97b538638f76a654a876c00846131e5b7d71abf6f34633c9a6c65be4cf,99.62906336784363
34,complete,27200,28000,800,w01_primitive_rows/c00034.csv.gz,chunk_manifests/w01_primitive_rows/c00034.json,2122660,435cd3c04d058c225c101bc111ef2d42ffad1881bb45ae37c779119582215420,99.24874758720398
35,complete,28000,28800,800,w01_primitive_rows/c00035.csv.gz,chunk_manifests/w01_primitive_rows/c00035.json,2102220,4410cc0b64bafa96a16e88fb24250d44e38ea4126f8484370a6a6e4c6b1bcf02,104.66341066360474
36,complete,28800,29600,800,w01_primitive_rows/c00036.csv.gz,chunk_manifests/w01_primitive_rows/c00036.json,2034738,fe25beee275283a7f006639c4b7e9783a7082c489127dc978c007f5fb7877dc5,105.99732804298401
37,complete,29600,30400,800,w01_primitive_rows/c00037.csv.gz,chunk_manifests/w01_primitive_rows/c00037.json,2132327,462bcef1c5a6d920cc12558d6f929dd9e0d47f4d28d50a9af482b077896ae7c2,109.42758226394653
38,complete,30400,31200,800,w01_primitive_rows/c00038.csv.gz,chunk_manifests/w01_primitive_rows/c00038.json,1995626,9ddd1b60a58280496c972727b803459628528f9a80ea648a1dbf59bcbed47f87,91.071133852005
39,complete,31200,32000,800,w01_primitive_rows/c00039.csv.gz,chunk_manifests/w01_primitive_rows/c00039.json,2076372,6726018cd6c39b3ce98e42435506fd21b6487274b42f984a1927dc2fbc6e024f,78.64938759803772
40,complete,32000,32800,800,w01_primitive_rows/c00040.csv.gz,chunk_manifests/w01_primitive_rows/c00040.json,2075631,218ab1756c21b0c72ace3509dab3c2e9bdd0c77c7ed3c46be754c8687bf5cda7,78.3667426109314
41,complete,32800,33600,800,w01_primitive_rows/c00041.csv.gz,chunk_manifests/w01_primitive_rows/c00041.json,2011827,343106554020ef72aad993b9bd783e69ab9443d50e7a91fbb7e742d3836dc2a5,86.72167611122131
42,complete,33600,34400,800,w01_primitive_rows/c00042.csv.gz,chunk_manifests/w01_primitive_rows/c00042.json,2118751,281a05ec815a950451b95b488d4f7fdad62cd1b5b96e5b03a074dd92f5eaf50a,85.54128813743591
43,complete,34400,35200,800,w01_primitive_rows/c00043.csv.gz,chunk_manifests/w01_primitive_rows/c00043.json,2038783,51b0752496beaf25aa878f135c9d58cf7645852e14833a10fe39ba18ea454b7c,91.79644441604614
44,complete,35200,36000,800,w01_primitive_rows/c00044.csv.gz,chunk_manifests/w01_primitive_rows/c00044.json,2082296,65f88ea6d276ed273e6166102af56cad2a61f037a1f5aeb9f7b8cf5bb1f0b737,91.87630224227905
