primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,transition_chain_compatible_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_transition_object_2f23757206de,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.01437243587723937,0.0098
primvar_energy_retaining_bank_transition_object_2f23757206de,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.0171189201237461,0.0
primvar_energy_retaining_bank_transition_object_306895f0da63,energy_retaining_bank,dry_air,20,19,19,0,0,0.2002331294168522,-0.023354667867039717,0.0
primvar_energy_retaining_bank_transition_object_306895f0da63,energy_retaining_bank,w3_randomised_four,100,77,77,0,0,0.2002839831384903,-0.00016064237955645973,0.07200000000000001
primvar_energy_retaining_bank_transition_object_306895f0da63,energy_retaining_bank,w3_randomised_single,40,27,27,0,0,0.2003364632132704,-0.0030952283578030175,0.0615
primvar_energy_retaining_bank_transition_object_342d7842acd0,energy_retaining_bank,dry_air,20,20,20,0,0,0.2005643430096704,-0.023455866059336892,0.0
primvar_energy_retaining_bank_transition_object_342d7842acd0,energy_retaining_bank,w3_randomised_four,100,78,78,0,0,0.2002980821417832,0.0011800984081394128,0.0738
primvar_energy_retaining_bank_transition_object_342d7842acd0,energy_retaining_bank,w3_randomised_single,40,27,27,0,0,0.2000110510982855,-0.0014303485481996867,0.0635
primvar_energy_retaining_bank_transition_object_3491843a5aa1,energy_retaining_bank,dry_air,60,48,48,0,0,0.0042965023720533,-0.014625085195712062,0.0
primvar_energy_retaining_bank_transition_object_3491843a5aa1,energy_retaining_bank,w3_randomised_four,300,194,194,0,0,0.0042965023720533,0.00030927974272049397,0.055400000000000005
primvar_energy_retaining_bank_transition_object_3491843a5aa1,energy_retaining_bank,w3_randomised_single,120,79,79,0,0,0.0042965023720533,-0.006402671241994957,0.035666666666666666
primvar_energy_retaining_bank_transition_object_34f80584c474,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0721164581481179,-0.03481509888558165,0.0
primvar_energy_retaining_bank_transition_object_34f80584c474,energy_retaining_bank,w3_randomised_four,100,62,62,55,0,-0.0723153963841074,-0.029535058867906704,0.0456
primvar_energy_retaining_bank_transition_object_34f80584c474,energy_retaining_bank,w3_randomised_single,40,28,28,22,0,-0.0720954700578726,-0.0345738838649894,0.006500000000000001
primvar_energy_retaining_bank_transition_object_3587c73a98f0,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01701810109840824,0.0
primvar_energy_retaining_bank_transition_object_3587c73a98f0,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014697797139992553,0.0118
primvar_energy_retaining_bank_transition_object_3587c73a98f0,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01688036752943515,0.0
primvar_energy_retaining_bank_transition_object_3798078a7ac1,energy_retaining_bank,dry_air,20,10,10,0,0,0.4463200872787409,-0.00330456663672871,0.0
primvar_energy_retaining_bank_transition_object_3798078a7ac1,energy_retaining_bank,w3_randomised_four,100,29,29,0,0,0.4461718127256794,0.011413519380573561,0.0748
primvar_energy_retaining_bank_transition_object_3798078a7ac1,energy_retaining_bank,w3_randomised_single,40,14,14,0,0,0.446164589660873,0.0015147228117630865,0.0455
primvar_energy_retaining_bank_transition_object_394acd59158e,energy_retaining_bank,dry_air,40,33,33,11,0,-0.0719819097212397,-0.02913299144186346,0.0
primvar_energy_retaining_bank_transition_object_394acd59158e,energy_retaining_bank,w3_randomised_four,200,141,141,55,0,-0.0723087189081059,-0.01450316188414262,0.05800000000000001
primvar_energy_retaining_bank_transition_object_394acd59158e,energy_retaining_bank,w3_randomised_single,80,53,53,22,0,-0.0720414034812515,-0.018539955610915405,0.035250000000000004
primvar_energy_retaining_bank_transition_object_3a8f96df7926,energy_retaining_bank,dry_air,60,54,54,11,0,-0.0720513714058936,-0.025164158754567515,0.0
primvar_energy_retaining_bank_transition_object_3a8f96df7926,energy_retaining_bank,w3_randomised_four,300,234,234,55,0,-0.0723083846237813,-0.013963108872023764,0.0444
primvar_energy_retaining_bank_transition_object_3a8f96df7926,energy_retaining_bank,w3_randomised_single,120,94,94,22,0,-0.0721240125279552,-0.018292723032554255,0.023500000000000004
primvar_energy_retaining_bank_transition_object_3c7419fc750b,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01700004404837139,0.0
primvar_energy_retaining_bank_transition_object_3c7419fc750b,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014940017481718195,0.011600000000000001
primvar_energy_retaining_bank_transition_object_3c7419fc750b,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01699354415604927,0.0
primvar_energy_retaining_bank_transition_object_400faf03a223,energy_retaining_bank,dry_air,40,34,34,11,0,-0.0720974106433152,-0.029262398754384217,0.0
primvar_energy_retaining_bank_transition_object_400faf03a223,energy_retaining_bank,w3_randomised_four,200,142,142,55,0,-0.0723276429807748,-0.012749624219649673,0.0604
primvar_energy_retaining_bank_transition_object_400faf03a223,energy_retaining_bank,w3_randomised_single,80,54,54,22,0,-0.0721376360996055,-0.0186467825646172,0.0345
primvar_energy_retaining_bank_transition_object_4012ef56fca5,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.017011055612774016,0.0
primvar_energy_retaining_bank_transition_object_4012ef56fca5,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014549602625815103,0.011600000000000001
primvar_energy_retaining_bank_transition_object_4012ef56fca5,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01701109567762832,0.0
primvar_energy_retaining_bank_transition_object_40fa74dd6a58,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.016993259683097003,0.0
primvar_energy_retaining_bank_transition_object_40fa74dd6a58,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.014578849844409943,0.01
primvar_energy_retaining_bank_transition_object_40fa74dd6a58,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01707708397375514,0.0
primvar_energy_retaining_bank_transition_object_410bb4c098b2,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0720414288953028,-0.035005205857731966,0.0
primvar_energy_retaining_bank_transition_object_410bb4c098b2,energy_retaining_bank,w3_randomised_four,100,60,60,55,0,-0.0722980807347051,-0.028469442719488754,0.0456
primvar_energy_retaining_bank_transition_object_410bb4c098b2,energy_retaining_bank,w3_randomised_single,40,27,27,22,0,-0.0721031740688689,-0.0346821304409882,0.0075000000000000015
primvar_energy_retaining_bank_transition_object_4128c3cc397f,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01699913888362976,0.0
primvar_energy_retaining_bank_transition_object_4128c3cc397f,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.015236411168328185,0.0092
primvar_energy_retaining_bank_transition_object_4128c3cc397f,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017132118964250053,0.0
primvar_energy_retaining_bank_transition_object_438ef31beb5e,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.01703039837926655,0.0
primvar_energy_retaining_bank_transition_object_438ef31beb5e,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.012607528733994884,0.011800000000000001
primvar_energy_retaining_bank_transition_object_438ef31beb5e,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.01705424731664045,0.0
primvar_energy_retaining_bank_transition_object_444a6c5eb99a,energy_retaining_bank,dry_air,40,34,34,11,0,-0.0719715247793368,-0.02905870658339313,0.0
primvar_energy_retaining_bank_transition_object_444a6c5eb99a,energy_retaining_bank,w3_randomised_four,200,142,142,55,0,-0.0722716027479091,-0.013458759625091153,0.061000000000000006
primvar_energy_retaining_bank_transition_object_444a6c5eb99a,energy_retaining_bank,w3_randomised_single,80,55,55,22,0,-0.0720694946604147,-0.018292955915556398,0.03625
primvar_energy_retaining_bank_transition_object_468e7fb4ecc2,energy_retaining_bank,dry_air,80,63,63,11,0,-0.0720054044011568,-0.019684826455525155,0.0
primvar_energy_retaining_bank_transition_object_468e7fb4ecc2,energy_retaining_bank,w3_randomised_four,400,260,260,55,0,-0.0723349057619477,-0.007602209266138428,0.052300000000000006
primvar_energy_retaining_bank_transition_object_468e7fb4ecc2,energy_retaining_bank,w3_randomised_single,160,108,108,22,0,-0.0720889076910697,-0.012641433544165564,0.028625
primvar_energy_retaining_bank_transition_object_46fde81be05d,energy_retaining_bank,dry_air,20,20,20,0,0,0.0042965023720533,-0.017145531326213083,0.0
primvar_energy_retaining_bank_transition_object_46fde81be05d,energy_retaining_bank,w3_randomised_four,100,100,100,0,0,0.0042965023720533,-0.01459385616030362,0.0098
primvar_energy_retaining_bank_transition_object_46fde81be05d,energy_retaining_bank,w3_randomised_single,40,40,40,0,0,0.0042965023720533,-0.017121937310774167,0.0
primvar_energy_retaining_bank_transition_object_4e7b7696b0b2,energy_retaining_bank,dry_air,20,14,14,11,0,-0.0720363117530693,-0.034898641994989175,0.0
