primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_glide_inflight_only_a133053f9e0c,glide,w3_randomised_four,20,20,0,0,0.2937961354372467,0.0032014828705201294,0.073
primvar_glide_inflight_only_a133053f9e0c,glide,w3_randomised_single,20,20,0,0,0.2940276666361594,-0.005022076451579495,0.048
primvar_glide_inflight_only_b0b55461bad8,glide,w3_randomised_four,20,20,0,0,0.2955395120301061,-0.00466961634079995,0.067
primvar_glide_inflight_only_b0b55461bad8,glide,w3_randomised_single,20,20,0,0,0.2927702479914336,-0.004594635396932665,0.046
primvar_glide_inflight_only_b4ea1b6ba09a,glide,w3_randomised_four,20,20,0,0,0.2944996873479359,-0.0028396291917101163,0.075
primvar_glide_inflight_only_b4ea1b6ba09a,glide,w3_randomised_single,20,20,0,0,0.2940974173357569,-0.0029632444880834754,0.049
primvar_glide_inflight_only_c287c5d1712f,glide,w3_randomised_four,20,20,0,0,0.2953989598728492,-0.002842116262349774,0.074
primvar_glide_inflight_only_c287c5d1712f,glide,w3_randomised_single,20,20,0,0,0.2935625813848705,-0.00570441857703974,0.043000000000000003
primvar_glide_inflight_only_d259714ea187,glide,w3_randomised_four,20,20,0,0,0.2938323381723,-9.035564986978467e-05,0.066
primvar_glide_inflight_only_d259714ea187,glide,w3_randomised_single,20,20,0,0,0.2937417061389995,-0.0035172870201407697,0.044
primvar_glide_inflight_only_d3d1c4822d87,glide,w3_randomised_four,20,20,0,0,0.2954770407045908,0.0053499412114818195,0.07
primvar_glide_inflight_only_d3d1c4822d87,glide,w3_randomised_single,20,20,0,0,0.2937740253005927,-0.004922409732429344,0.044
primvar_glide_inflight_only_d63007a96786,glide,w3_randomised_four,20,20,0,0,0.2956925742783749,0.0029081355905736656,0.08600000000000001
primvar_glide_inflight_only_d63007a96786,glide,w3_randomised_single,20,20,0,0,0.2938205238985869,-0.0017917561314333657,0.048
primvar_glide_inflight_only_ed714121af2e,glide,w3_randomised_four,20,20,0,0,0.2938214346726973,-0.0004620612864313752,0.066
primvar_glide_inflight_only_ed714121af2e,glide,w3_randomised_single,20,20,0,0,0.2937309799987524,-0.0007833816276383399,0.046
primvar_glide_inflight_only_ed80404c47ef,glide,w3_randomised_four,20,20,0,0,0.2941973891273948,-0.005675596425383351,0.05900000000000001
primvar_glide_inflight_only_ed80404c47ef,glide,w3_randomised_single,20,20,0,0,0.2941443038672471,-0.004999941656095644,0.043
primvar_glide_inflight_only_f15908038191,glide,w3_randomised_four,20,20,0,0,0.2940882458698688,-0.0021514831863057304,0.065
primvar_glide_inflight_only_f15908038191,glide,w3_randomised_single,20,20,0,0,0.2938168706846271,-0.00574735486651522,0.041
primvar_glide_inflight_only_f252094e5f11,glide,w3_randomised_four,20,20,0,0,0.2941235977578964,0.00851235490215237,0.093
primvar_glide_inflight_only_f252094e5f11,glide,w3_randomised_single,20,20,0,0,0.2926983211990706,-0.0034850844924265664,0.046
primvar_launch_capture_energy_build_launch_capable_07052e71412b,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13822664328546114,0.005
primvar_launch_capture_energy_build_launch_capable_07052e71412b,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13857649260429158,0.0
primvar_launch_capture_energy_build_launch_capable_14ff2c75882a,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13821727232938424,0.002
primvar_launch_capture_energy_build_launch_capable_14ff2c75882a,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13865554009110517,0.0
primvar_launch_capture_energy_build_launch_capable_1f0cc86b43a3,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13766249567165814,0.012
primvar_launch_capture_energy_build_launch_capable_1f0cc86b43a3,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13876387599780016,0.0
primvar_launch_capture_energy_build_launch_capable_21c90626162f,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13779520982939936,0.008
primvar_launch_capture_energy_build_launch_capable_21c90626162f,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.1386219860073565,0.0
primvar_launch_capture_energy_build_launch_capable_289d7bdfa9d5,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13810653803952053,0.002
primvar_launch_capture_energy_build_launch_capable_289d7bdfa9d5,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.1386936707668822,0.0
primvar_launch_capture_energy_build_launch_capable_2f884487760a,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13829754723428175,0.0
primvar_launch_capture_energy_build_launch_capable_2f884487760a,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13870274939692237,0.0
primvar_launch_capture_energy_build_launch_capable_34bf4451b3ad,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.1383476779626332,0.003
primvar_launch_capture_energy_build_launch_capable_34bf4451b3ad,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13868085017061116,0.0
primvar_launch_capture_energy_build_launch_capable_4499c97e4286,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13815792086434064,0.005
primvar_launch_capture_energy_build_launch_capable_4499c97e4286,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.1387674804530905,0.0
primvar_launch_capture_energy_build_launch_capable_4585861732bd,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13829357796593358,0.001
primvar_launch_capture_energy_build_launch_capable_4585861732bd,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.1385603214346221,0.0
primvar_launch_capture_energy_build_launch_capable_5a332c428892,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.1381176006441041,0.003
primvar_launch_capture_energy_build_launch_capable_5a332c428892,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13861285257764783,0.0
primvar_launch_capture_energy_build_launch_capable_6c7c0099ec1e,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13818440355674708,0.006
primvar_launch_capture_energy_build_launch_capable_6c7c0099ec1e,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13863408953766593,0.0
primvar_launch_capture_energy_build_launch_capable_7121711fd795,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.1380552766836733,0.006
primvar_launch_capture_energy_build_launch_capable_7121711fd795,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13858034428174046,0.0
primvar_launch_capture_energy_build_launch_capable_76131cd6383f,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13797825037350464,0.006
primvar_launch_capture_energy_build_launch_capable_76131cd6383f,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.13881088680534476,0.0
primvar_launch_capture_energy_build_launch_capable_80192bddeb50,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.13799991068535447,0.005
primvar_launch_capture_energy_build_launch_capable_80192bddeb50,launch_capture_energy_build,w3_randomised_single,20,20,0,0,0.0042965023720533,-0.1386006916131053,0.0
primvar_launch_capture_energy_build_launch_capable_8ba77b5818e6,launch_capture_energy_build,w3_randomised_four,20,20,0,0,0.0042965023720533,-0.1379497238524824,0.003
