combo_idx,combo_names,fan_robust_loss,fan_robust_f_scale,overall_wrmse,overall_sae,overall_n,F01_wrmse,F01_sae,F01_n,F02_wrmse,F02_sae,F02_n,F03_wrmse,F03_sae,F03_n,F04_wrmse,F04_sae,F04_n
"1,1,2,1","huber,huber,cauchy,huber","huber,huber,cauchy,huber","1.000,1.000,0.500,1.000",0.6094626438186472,509.534749171596,1365,0.3426571808919227,129.53122658653461,357,0.8207414511405716,114.00614475236026,315,0.616724752950491,141.1124957653759,371,0.41108920008038824,124.8848820673252,322
"0,1,2,0","baseline,huber,cauchy,baseline","soft_l1,huber,cauchy,soft_l1","1.000,1.000,0.500,1.000",0.609494266616624,510.6197035437637,1365,0.3405007298262747,130.12850006558446,357,0.8205335894782224,113.39247790341896,315,0.619060436193392,141.491629348938,371,0.4096510475290903,125.60709622582232,322
"1,0,2,0","huber,baseline,cauchy,baseline","huber,soft_l1,cauchy,soft_l1","1.000,1.000,0.500,1.000",0.6095785639577331,510.5377189393744,1365,0.3425573912046536,129.2965083620657,357,0.8197864017425398,114.41005453690117,315,0.6199004667819638,141.7012473473663,371,0.40916072754106025,125.12990869304123,322
"0,0,2,1","baseline,baseline,cauchy,huber","soft_l1,soft_l1,cauchy,huber","1.000,1.000,0.500,1.000",0.6096000576454618,510.43924460037215,1365,0.34025511328959945,129.95614555648834,357,0.820695624633402,114.47074798252481,315,0.6191043646706992,141.54956024536446,371,0.41005583481076396,124.46279081599457,322
"0,1,2,1","baseline,huber,cauchy,huber","soft_l1,huber,cauchy,huber","1.000,1.000,0.500,1.000",0.6098125734869948,510.40969414186407,1365,0.3404820608648981,130.13088026797604,357,0.8208360670267955,113.76130497293191,315,0.6191244083955312,141.605852729312,371,0.4109135627295116,124.9116561716441,322
"1,1,2,0","huber,huber,cauchy,baseline","huber,huber,cauchy,soft_l1","1.000,1.000,0.500,1.000",0.6098970227274423,510.4409447856527,1365,0.3426688951476783,129.54137499620532,357,0.8204289150355856,113.65541636009094,315,0.619657725719166,141.69264857499616,371,0.4098133078390015,125.55150485436025,322
"2,1,1,2","cauchy,huber,huber,cauchy","cauchy,huber,huber,cauchy","0.500,1.000,1.000,0.500",0.610976071839781,525.7105813490633,1365,0.3734309890600887,138.41291333678274,357,0.8219956049920693,111.05042674782466,315,0.575277852782477,137.30467237054998,371,0.45912168931482017,138.94256889390593,322
"2,1,2,0","cauchy,huber,cauchy,baseline","cauchy,huber,cauchy,soft_l1","0.500,1.000,0.500,1.000",0.6133613711618058,514.1898109574283,1365,0.36672382576504486,135.05283596269294,357,0.8198651668572576,111.95187782801392,315,0.6226161971641812,141.40381605047185,371,0.40844067877988416,125.78128111624963,322
"1,2,1,0","huber,cauchy,huber,baseline","huber,cauchy,huber,soft_l1","1.000,0.500,1.000,1.000",0.6307128455421773,513.6440897963868,1365,0.34023339043330125,129.21578012807933,357,0.8951005545824599,123.53750216780689,315,0.5773798470026517,138.49924928767285,371,0.3972680474942277,122.39155821282769,322
"1,2,1,1","huber,cauchy,huber,huber","huber,cauchy,huber,huber","1.000,0.500,1.000,1.000",0.6309589070632002,513.6300286441226,1365,0.3403762167943443,129.27530736919016,357,0.8951796578230974,123.895827051399,315,0.5774141774127917,138.62455270232374,371,0.3986971968776869,121.83434152120972,322
"0,2,0,0","baseline,cauchy,baseline,baseline","soft_l1,cauchy,soft_l1,soft_l1","1.000,0.500,1.000,1.000",0.6366290602205553,513.199699203688,1365,0.33817835515371353,129.81524249909498,357,0.9115664498002434,122.76796573457374,315,0.5716503139081183,138.56194568856455,371,0.3969804926434673,122.05454528145479,322
"1,2,0,0","huber,cauchy,baseline,baseline","huber,cauchy,soft_l1,soft_l1","1.000,0.500,1.000,1.000",0.636941319221082,512.5872271581923,1365,0.34050113571039176,129.08072382761836,357,0.9114895987424357,122.63924188817252,315,0.5716717943741558,138.65929844051493,371,0.3974781766319358,122.20796300188651,322
"0,2,0,1","baseline,cauchy,baseline,huber","soft_l1,cauchy,soft_l1,huber","1.000,0.500,1.000,1.000",0.6369611976370114,513.2218029811212,1365,0.3382954226739053,129.8843578744333,357,0.911830722348559,123.08946028984899,315,0.5716490270128871,138.68319564373465,371,0.3985218802221257,121.56478917310423,322
"1,2,0,1","huber,cauchy,baseline,huber","huber,cauchy,soft_l1,huber","1.000,0.500,1.000,1.000",0.6372541606215816,512.6120375847557,1365,0.34061872491574535,129.1493441461298,357,0.9117421803706915,122.9734380612913,315,0.5716696832847017,138.76765384566505,371,0.398910569460855,121.72160153166962,322
"0,2,1,0","baseline,cauchy,huber,baseline","soft_l1,cauchy,huber,soft_l1","1.000,0.500,1.000,1.000",0.6380828672600496,513.3146255152328,1365,0.33827350580045307,129.89518078467907,357,0.9120575901049609,122.75944945522934,315,0.577200243861293,138.42948227593993,371,0.39672506704142907,122.23051299938446,322
"0,2,1,1","baseline,cauchy,huber,huber","soft_l1,cauchy,huber,huber","1.000,0.500,1.000,1.000",0.6384236387361073,513.2793736534682,1365,0.33838659003221383,129.95905898223307,357,0.9123232789229032,123.08743934114196,315,0.5772340031850045,138.56262259155613,371,0.3982770630295084,121.67025273853697,322
"0,2,2,0","baseline,cauchy,cauchy,baseline","soft_l1,cauchy,cauchy,soft_l1","1.000,0.500,0.500,1.000",0.6460638639027786,515.3996079084058,1365,0.3377073697871391,128.60737421437074,357,0.9071334001753701,122.30071556260057,315,0.6202428260397512,142.54310240378715,371,0.39863146107667147,121.94841572764737,322
"0,2,2,1","baseline,cauchy,cauchy,huber","soft_l1,cauchy,cauchy,huber","1.000,0.500,0.500,1.000",0.6469193224489372,513.7194125505645,1365,0.3388845526429587,128.78884790200826,357,0.9075379666835134,122.55893349754872,315,0.6218583108994726,140.99623741967153,371,0.39979373203201185,121.375393731336,322
"1,2,2,0","huber,cauchy,cauchy,baseline","huber,cauchy,cauchy,soft_l1","1.000,0.500,0.500,1.000",0.6473233663333922,513.4308764135319,1365,0.3410982556841668,128.106746817234,357,0.9075823024796029,122.28949252759729,315,0.6226864140810735,141.11495976882117,371,0.39918608239703823,121.91967729987938,322
"1,2,2,1","huber,cauchy,cauchy,huber","huber,cauchy,cauchy,huber","1.000,0.500,0.500,1.000",0.6475592310667466,513.5082912312474,1365,0.34120968466953566,128.18858904391413,357,0.9078059805848858,122.57277768682393,315,0.6225662214543339,141.1753192445821,371,0.4003806845436126,121.5716052559272,322
"2,0,2,0","cauchy,baseline,cauchy,baseline","cauchy,soft_l1,cauchy,soft_l1","0.500,1.000,0.500,1.000",0.6500876486364585,516.7555147128253,1365,0.3808356909748903,135.3712045597609,357,0.8192076930562365,112.41276497701546,315,0.7520659818680487,143.59459268443112,371,0.40771403393227934,125.37695249161773,322
"2,1,2,1","cauchy,huber,cauchy,huber","cauchy,huber,cauchy,huber","0.500,1.000,0.500,1.000",0.6519014095351314,519.0349769949094,1365,0.3667412555435369,135.29900411672855,357,0.8201726916553422,112.31089080918504,315,0.7622405651160915,146.39478688953014,371,0.409967120477565,125.03029517946558,322
"2,0,2,1","cauchy,baseline,cauchy,huber","cauchy,soft_l1,cauchy,huber","0.500,1.000,0.500,1.000",0.6535902005704948,519.2004955850603,1365,0.3805091509849463,135.46979175614163,357,0.8198364574549303,112.87584770283283,315,0.7628930697837154,146.30148627635938,371,0.40886028688695975,124.55336984972642,322
"1,2,0,2","huber,cauchy,baseline,cauchy","huber,cauchy,soft_l1,cauchy","1.000,0.500,1.000,0.500",0.6781086018736788,529.524648428458,1365,0.3393622242854089,128.86402917901347,357,0.9350681320747521,121.8705550183425,315,0.5663071588900601,136.2104504535132,371,0.6019503867989638,142.57961377758892,322
