stage_id,library_size_case_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,launch_gate_entry_primitive_family_count,active_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_entry_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_nominal,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,908,1869,0,0,0,2777,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,918,1858,0,0,0,2776,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,905,1873,0,0,0,2778,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,903,1874,0,0,0,2777,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,44,231,0,0,0,275,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,43,228,0,0,0,271,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,39,235,0,0,0,274,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,40,244,0,0,0,284,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,40,229,0,0,0,269,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,37,243,0,0,0,280,0,0,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_nominal,inflight_stable,inflight_stable,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,8,8,0,5120,False,0,0.0,41,238,0,0,0,279,0,0,True,False,not_applicable_w01
