event_id,surface_index,surface_name,command_before_norm_1,command_before_norm_2,command_before_norm_3,command_before_norm_4,command_after_norm_1,command_after_norm_2,command_after_norm_3,command_after_norm_4,scheduled_start_s,scheduled_end_s,random_seed,repetition_index,step_kind,step_label,latency_method
103,1,Aileron_L,0,0,0,0,-0.7,0,0,0,69.7260649000001,70.3260649,2,7,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
104,1,Aileron_L,-0.7,0,0,0,0,0,0,0,70.3260649,70.9260649,2,7,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
105,3,Rudder,0,0,0,0,0,0,0.7,0,70.9260649,71.5260649,2,7,step_to_command,latency_bang_bang_Rudder_step_to_command_+0.700,bang_bang_measured_response_fraction
106,3,Rudder,0,0,0.7,0,0,0,0,0,71.5260649,72.1260649,2,7,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_-0.700,bang_bang_measured_response_fraction
107,3,Rudder,0,0,0,0,0,0,-0.7,0,72.1260649,72.7260649,2,7,step_to_command,latency_bang_bang_Rudder_step_to_command_-0.700,bang_bang_measured_response_fraction
108,3,Rudder,0,0,-0.7,0,0,0,0,0,72.7260649,73.3260649,2,7,return_to_neutral,latency_bang_bang_Rudder_return_to_neutral_+0.700,bang_bang_measured_response_fraction
109,2,Aileron_R,0,0,0,0,0,0.7,0,0,73.3260649,73.9260649,2,7,step_to_command,latency_bang_bang_Aileron_R_step_to_command_+0.700,bang_bang_measured_response_fraction
110,2,Aileron_R,0,0.7,0,0,0,0,0,0,73.9260649,74.5260649,2,7,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_-0.700,bang_bang_measured_response_fraction
111,2,Aileron_R,0,0,0,0,0,-0.7,0,0,74.5260649,75.1260649,2,7,step_to_command,latency_bang_bang_Aileron_R_step_to_command_-0.700,bang_bang_measured_response_fraction
112,2,Aileron_R,0,-0.7,0,0,0,0,0,0,75.1260649,75.7260649,2,7,return_to_neutral,latency_bang_bang_Aileron_R_return_to_neutral_+0.700,bang_bang_measured_response_fraction
113,4,Elevator,0,0,0,0,0,0,0,-0.7,75.7260649,76.3260649,2,8,step_to_command,latency_bang_bang_Elevator_step_to_command_-0.700,bang_bang_measured_response_fraction
114,4,Elevator,0,0,0,-0.7,0,0,0,0,76.3260649,76.9260649,2,8,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_+0.700,bang_bang_measured_response_fraction
115,4,Elevator,0,0,0,0,0,0,0,0.7,76.9260649,77.5260649,2,8,step_to_command,latency_bang_bang_Elevator_step_to_command_+0.700,bang_bang_measured_response_fraction
116,4,Elevator,0,0,0,0.7,0,0,0,0,77.5260649,78.1260649,2,8,return_to_neutral,latency_bang_bang_Elevator_return_to_neutral_-0.700,bang_bang_measured_response_fraction
117,1,Aileron_L,0,0,0,0,-0.7,0,0,0,78.1260649,78.7260649,2,8,step_to_command,latency_bang_bang_Aileron_L_step_to_command_-0.700,bang_bang_measured_response_fraction
118,1,Aileron_L,-0.7,0,0,0,0,0,0,0,78.7260649,79.3260649,2,8,return_to_neutral,latency_bang_bang_Aileron_L_return_to_neutral_+0.700,bang_bang_measured_response_fraction
