split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,rudder,0.4,roll_coupling_phi_change_deg,5,6,-13.66430531,-22.18733999,4.26151734,-17.92582265,4.356810447,-3.208251146,3.782530796,0.5742796503,0.478986544,-18.5001023
all,rudder,0.4,response_dy_m,5,6,-0.09139553602,-0.1371837583,0.02289411116,-0.1142896472,0.1312233169,0.07182975257,0.02969678217,0.1015265347,-0.006802671008,-0.2158161819
all,rudder,0.6,peak_r_rad_s,6,6,0.6815665441,0.03670404456,0.3224312498,0.3591352943,0.814144953,-0.9604204993,0.8872827261,-0.07313777314,-0.5648514764,0.4322730675
all,rudder,0.6,r_impulse_rad,6,6,0.2726438186,0.04407200842,0.1142859051,0.1583579135,0.3107611231,-0.3405124219,0.3256367725,-0.01487564942,-0.2113508674,0.1732335629
all,rudder,0.6,psi_change_deg,6,6,12.59642646,-1.406664966,7.001545713,5.594880747,23.53231792,-11.34683885,17.43957838,6.092739536,-10.43803267,-0.4978587885
all,rudder,0.6,roll_coupling_phi_change_deg,6,6,-12.95861834,-19.01470838,3.028045021,-15.98666336,9.38511079,-3.36187786,6.373494325,3.011616465,-3.345449304,-18.99827982
all,rudder,0.6,response_dy_m,6,6,-0.1000359209,-0.1651395339,0.03255180649,-0.1325877274,0.1522417795,0.08236934392,0.03493621781,0.1173055617,-0.002384411321,-0.2498932892
all,rudder,0.8,peak_r_rad_s,6,6,0.8845091582,-0.5101143405,0.6973117494,0.1871974089,1.128792251,-1.178869327,1.153830789,-0.02503853776,-0.4565190396,0.2122359466
all,rudder,0.8,r_impulse_rad,6,6,0.3645976536,-0.01392129796,0.1892594758,0.1753381778,0.4098247568,-0.3753968237,0.3926107903,0.01721396655,-0.2033513145,0.1581242113
all,rudder,0.8,psi_change_deg,6,6,17.5449958,-3.680902166,10.61294899,6.932046819,26.97226096,-15.5810433,21.27665213,5.695608828,-10.66370314,1.236437991
all,rudder,0.8,roll_coupling_phi_change_deg,6,6,-10.84728573,-18.96503134,4.058872805,-14.90615854,4.408848275,-6.868325778,5.638587027,-1.229738752,-1.579714222,-13.67641979
all,rudder,0.8,response_dy_m,6,6,-0.1988098122,-0.05844554722,-0.07018213251,-0.1286276797,0.2440602103,-0.06603139903,0.1550458046,0.08901440561,-0.2252279372,-0.2176420853
all,rudder,1,peak_r_rad_s,6,6,0.9812264367,-0.2157159974,0.5984712171,0.3827552196,1.270034892,-1.51844616,1.394240526,-0.1242056342,-0.7957693089,0.5069608538
all,rudder,1,r_impulse_rad,6,6,0.4080800738,0.03657685711,0.1857516084,0.2223284655,0.4692890918,-0.4451811856,0.4572351387,0.01205395311,-0.2714835303,0.2102745124
all,rudder,1,psi_change_deg,6,6,17.89795214,-4.459383386,11.17866776,6.719284376,30.20794497,-20.39706514,25.30250505,4.905439913,-14.12383729,1.813844462
all,rudder,1,roll_coupling_phi_change_deg,6,6,-7.394385162,-23.35894789,7.982281363,-15.37666652,7.0583642,-6.053156494,6.555760347,0.5026038531,1.426521016,-15.87927038
all,rudder,1,response_dy_m,6,6,-0.09573969746,-0.08461328007,-0.005563208692,-0.09017648877,0.1503563626,-0.100588386,0.1254723743,0.0248839883,-0.131035583,-0.1150604771
train,aileron,0.2,peak_p_rad_s,5,5,-0.7270586246,0.08030064195,-0.4036796333,-0.3233789913,0.1213438792,0.7232722459,-0.3009641834,0.4223080625,-0.1027154499,-0.7456870539
train,aileron,0.2,p_impulse_rad,5,5,-0.2238579658,0.02698290749,-0.1254204366,-0.09843752915,0.01620533079,0.3529648546,-0.1683797619,0.1845850927,0.04295932527,-0.2830226218
train,aileron,0.2,phi_change_deg,5,5,-11.42016496,-3.690877723,-3.864643619,-7.555521342,-5.952423371,10.21080542,-8.081614393,2.129191022,4.216970774,-9.684712364
train,aileron,0.2,yaw_coupling_psi_change_deg,5,5,5.999204862,7.886972557,-0.9438838474,6.94308871,8.801052824,5.322200719,1.739426053,7.061626771,-2.6833099,-0.1185380618
train,aileron,0.2,response_dy_m,5,5,0.07191724039,0.04084477152,0.01553623444,0.05638100596,-0.04134773224,-0.1131727668,0.03591251726,-0.0772602495,-0.02037628283,0.1336412555
train,aileron,0.4,peak_p_rad_s,5,5,-0.8196995066,0.1779070608,-0.4988032837,-0.3208962229,-0.2469896055,0.9758380895,-0.6114138475,0.364424242,0.1126105638,-0.6853204649
train,aileron,0.4,p_impulse_rad,5,5,-0.3565916231,0.03095544655,-0.1937735348,-0.1628180883,-0.1686902613,0.4669557638,-0.3178230125,0.1491327513,0.1240494777,-0.3119508395
train,aileron,0.4,phi_change_deg,5,5,-24.83571943,0.6703686411,-12.75304403,-12.08267539,-13.65932064,19.34251061,-16.50091563,2.841594987,3.747871592,-14.92427038
train,aileron,0.4,yaw_coupling_psi_change_deg,5,5,11.15998987,10.04598117,0.5570043488,10.60298552,14.02614547,2.854646393,5.58574954,8.440395933,-5.028745191,2.162589583
train,aileron,0.4,response_dy_m,5,5,-0.01654734892,-0.07574125024,0.02959695066,-0.04614429958,-0.01944411666,-0.04121415753,0.01088502044,-0.03032913709,0.01871193022,-0.01581516249
train,aileron,0.6,peak_p_rad_s,5,5,-1.021395257,-0.1995412697,-0.4109269936,-0.6104682633,-0.939718032,1.317711756,-1.128714894,0.188996862,0.7177879004,-0.7994651253
train,aileron,0.6,p_impulse_rad,5,5,-0.4965398098,-0.008959701821,-0.243790054,-0.2527497558,-0.4171980919,0.6083444915,-0.5127712917,0.09557319981,0.2689812377,-0.3483229556
train,aileron,0.6,phi_change_deg,5,5,-29.57135468,4.206137196,-16.88874594,-12.68260874,-28.47397076,28.29655108,-28.38526092,-0.08870984072,11.49651498,-12.5938989
train,aileron,0.6,yaw_coupling_psi_change_deg,5,5,10.61243572,5.228799288,2.691818214,7.920617502,15.52289964,0.1900068799,7.666446378,7.856453258,-4.974628164,0.06416424404
train,aileron,0.6,response_dy_m,5,5,-0.2110078196,-0.2206946772,0.004843428823,-0.2158512484,0.3166476289,0.1454932961,0.08557716642,0.2310704625,-0.08073373759,-0.4469217109
train,aileron,0.8,peak_p_rad_s,5,4,-1.690052328,0.4247984261,-1.057425377,-0.6326269509,-0.8331179934,1.243114765,-1.038116379,0.2049983857,-0.0193089978,-0.8376253366
train,aileron,0.8,p_impulse_rad,5,4,-0.6034575119,0.1901985806,-0.3968280462,-0.2066294656,-0.4237678503,0.5930493882,-0.5084086193,0.08464076892,0.111580573,-0.2912702346
train,aileron,0.8,phi_change_deg,5,4,-31.71772664,14.8116277,-23.26467717,-8.453049467,-30.69748514,33.41530424,-32.05639469,1.35890955,8.791717523,-9.811959017
train,aileron,0.8,yaw_coupling_psi_change_deg,5,4,19.87419101,13.78416503,3.045012993,16.82917802,19.52376033,-2.690145436,11.10695288,8.416807446,-8.061939889,8.412370572
train,aileron,0.8,response_dy_m,5,4,-0.09801002548,-0.4589349915,0.180462483,-0.2784725085,0.001515931631,0.12962711,-0.0640555892,0.06557152083,0.2445180722,-0.3440440293
train,aileron,1,peak_p_rad_s,5,5,-1.520223617,1.026511888,-1.273367752,-0.2468558644,-0.995114274,1.491843496,-1.243478885,0.248364611,-0.0298888672,-0.4952204754
train,aileron,1,p_impulse_rad,5,5,-0.5280363964,0.3611777047,-0.4446070505,-0.08342934586,-0.385863948,0.6185376409,-0.5022007944,0.1163368465,0.0575937439,-0.1997661923
train,aileron,1,phi_change_deg,5,5,-32.72151862,14.60584372,-23.66368117,-9.057837446,-28.10022771,24.51399782,-26.30711276,-1.793114946,2.643431591,-7.264722499
train,aileron,1,yaw_coupling_psi_change_deg,5,5,11.24522856,6.632669166,2.306279698,8.938948863,23.14322375,-13.06195443,18.10258909,5.04063466,-15.79630939,3.898314203
train,aileron,1,response_dy_m,5,5,0.1070351999,-0.01269064888,0.05986292438,0.0471722755,0.03942568928,-0.1770892675,0.1082574784,-0.06883178913,-0.04839455403,0.1160040646
train,elevator,0.2,peak_q_rad_s,5,5,-1.808069199,-1.710247987,-0.04891060595,-1.759158593,-0.25894026,-1.571031517,0.6560456283,-0.9149858884,-0.7049562343,-0.844172705
train,elevator,0.2,q_impulse_rad,5,5,-0.5736248502,-0.7195007869,0.07293796833,-0.6465628186,-0.1665458789,-0.6745995873,0.2540268542,-0.4205727331,-0.1810888859,-0.2259900855
train,elevator,0.2,theta_change_deg,5,5,-8.406008772,-17.51602742,4.555009325,-12.9610181,3.415311138,-25.40851871,14.41191492,-10.99660379,-9.856905599,-1.964414312
train,elevator,0.2,response_altitude_loss_m,5,5,0.4919706973,0.5102945341,-0.009161918405,0.5011326157,0.6555149393,0.7983640762,-0.07142456845,0.7269395077,0.06226265004,-0.225806892
train,elevator,0.2,max_abs_alpha_deg,5,5,21.16815985,15.36001982,2.904070016,18.26408984,24.33269874,15.196847,4.567925871,19.76477287,-1.663855855,-1.500683032
train,elevator,0.4,peak_q_rad_s,5,4,-1.618835346,-1.91094981,0.1460572322,-1.764892578,-0.4307421758,-2.13588457,0.8525711972,-1.283313373,-0.706513965,-0.4815792053
train,elevator,0.4,q_impulse_rad,5,4,-0.5607980889,-0.7938268507,0.1165143809,-0.6773124698,-0.1750218548,-0.808952141,0.3169651431,-0.4919869979,-0.2004507622,-0.1853254719
train,elevator,0.4,theta_change_deg,5,4,-7.228227596,-23.40727359,8.089522999,-15.3177506,14.15372762,-27.80857403,20.98115083,-6.827423209,-12.89162783,-8.490327386
train,elevator,0.4,response_altitude_loss_m,5,4,0.4321872356,0.6609446654,-0.1143787149,0.5465659505,0.4907042082,0.7830576225,-0.1461767072,0.6368809154,0.03179799226,-0.09031496488
train,elevator,0.4,max_abs_alpha_deg,5,4,24.06072632,17.06632734,3.497199491,20.56352683,40.36519658,17.17596498,11.5946158,28.77058078,-8.097416308,-8.207053948
train,elevator,0.6,peak_q_rad_s,4,5,-1.490631874,-2.459574032,0.4844710789,-1.975102953,-0.1029240988,-2.303648035,1.100361968,-1.203286067,-0.6158908893,-0.7718168858
train,elevator,0.6,q_impulse_rad,4,5,-0.4544138253,-1.011950819,0.2787684971,-0.7331823224,0.01169712919,-0.9394653205,0.4755812248,-0.4638840956,-0.1968127277,-0.2692982267
train,elevator,0.6,theta_change_deg,4,5,-0.2828058165,-28.69857508,14.20788463,-14.49069045,26.1291284,-23.75827935,24.94370387,1.185424527,-10.73581924,-15.67611498
train,elevator,0.6,response_altitude_loss_m,4,5,0.3821714692,0.7282692263,-0.1730488786,0.5552203478,0.4709887363,0.6587101128,-0.09386068825,0.5648494245,-0.07918819031,-0.009629076736
