split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
train,aileron,0.8,p_impulse_rad,5,4,-0.6034575119,0.1901985806,,-0.2066294656,-0.4237678503,0.5930493882,,0.08464076892,,-0.2912702346
train,aileron,0.8,phi_change_deg,5,4,-31.71772664,14.8116277,,-8.453049467,-30.69748514,33.41530424,,1.35890955,,-9.811959017
train,aileron,0.8,yaw_coupling_psi_change_deg,5,4,19.87419101,13.78416503,,16.82917802,19.52376033,-2.690145436,,8.416807446,,8.412370572
train,aileron,0.8,response_dy_m,5,4,-0.09801002548,-0.4589349915,,-0.2784725085,0.001515931631,0.12962711,,0.06557152083,,-0.3440440293
train,aileron,1,peak_p_rad_s,5,5,-1.520223617,1.026511888,,-0.2468558644,-0.995114274,1.491843496,,0.248364611,,-0.4952204754
train,aileron,1,p_impulse_rad,5,5,-0.5280363964,0.3611777047,,-0.08342934586,-0.385863948,0.6185376409,,0.1163368465,,-0.1997661923
train,aileron,1,phi_change_deg,5,5,-32.72151862,14.60584372,,-9.057837446,-28.10022771,24.51399782,,-1.793114946,,-7.264722499
train,aileron,1,yaw_coupling_psi_change_deg,5,5,11.24522856,6.632669166,,8.938948863,23.14322375,-13.06195443,,5.04063466,,3.898314203
train,aileron,1,response_dy_m,5,5,0.1070351999,-0.01269064888,,0.0471722755,0.03942568928,-0.1770892675,,-0.06883178913,,0.1160040646
train,elevator,0.2,peak_q_rad_s,5,5,-1.808069199,-1.710247987,,-1.759158593,-0.4192489835,-1.362708726,,-0.8909788546,,-0.8681797387
train,elevator,0.2,q_impulse_rad,5,5,-0.5736248502,-0.7195007869,,-0.6465628186,-0.2615188893,-0.6167954341,,-0.4391571617,,-0.2074056569
train,elevator,0.2,theta_change_deg,5,5,-8.406008772,-17.51602742,,-12.9610181,-2.003271271,-22.11709891,,-12.06018509,,-0.900833009
